"Date","NESLIND"
1982-01-01,-0.04
1982-02-01,0.11
1982-03-01,-0.24
1982-04-01,-0.3
1982-05-01,0.08
1982-06-01,0.62
1982-07-01,0.59
1982-08-01,0.81
1982-09-01,0.81
1982-10-01,0.78
1982-11-01,0.94
1982-12-01,0.82
1983-01-01,0.53
1983-02-01,0.87
1983-03-01,1.38
1983-04-01,2.12
1983-05-01,2.3
1983-06-01,2.46
1983-07-01,2.91
1983-08-01,2.29
1983-09-01,2.2
1983-10-01,1.88
1983-11-01,1.87
1983-12-01,1.26
1984-01-01,1.69
1984-02-01,2.06
1984-03-01,2.34
1984-04-01,2.05
1984-05-01,2.19
1984-06-01,1.94
1984-07-01,2.03
1984-08-01,1.77
1984-09-01,1.7
1984-10-01,1.17
1984-11-01,1.03
1984-12-01,0.73
1985-01-01,0.78
1985-02-01,0.47
1985-03-01,0.39
1985-04-01,0.52
1985-05-01,0.45
1985-06-01,0.62
1985-07-01,0.59
1985-08-01,0.7
1985-09-01,0.78
1985-10-01,1.05
1985-11-01,0.58
1985-12-01,0.78
1986-01-01,1.4
1986-02-01,1.77
1986-03-01,1.99
1986-04-01,1.79
1986-05-01,1.85
1986-06-01,1.53
1986-07-01,1.35
1986-08-01,1.28
1986-09-01,1.2
1986-10-01,1.22
1986-11-01,1.32
1986-12-01,1.39
1987-01-01,1.65
1987-02-01,1.91
1987-03-01,1.62
1987-04-01,1.64
1987-05-01,1.5
1987-06-01,1.42
1987-07-01,1.52
1987-08-01,1.83
1987-09-01,2.12
1987-10-01,2.14
1987-11-01,2.08
1987-12-01,2.03
1988-01-01,1.76
1988-02-01,1.86
1988-03-01,1.75
1988-04-01,1.66
1988-05-01,1.52
1988-06-01,2.09
1988-07-01,1.75
1988-08-01,1.74
1988-09-01,1.6
1988-10-01,1.68
1988-11-01,2.1
1988-12-01,2.01
1989-01-01,1.91
1989-02-01,1.71
1989-03-01,1.55
1989-04-01,1.54
1989-05-01,1.22
1989-06-01,1.36
1989-07-01,1.19
1989-08-01,1.43
1989-09-01,1.34
1989-10-01,1.4
1989-11-01,1.65
1989-12-01,1.73
1990-01-01,2.27
1990-02-01,1.86
1990-03-01,1.66
1990-04-01,1.83
1990-05-01,1.64
1990-06-01,1.56
1990-07-01,1.1
1990-08-01,1.34
1990-09-01,1.11
1990-10-01,1
1990-11-01,1.21
1990-12-01,0.89
1991-01-01,0.8
1991-02-01,0.76
1991-03-01,0.7
1991-04-01,0.72
1991-05-01,0.73
1991-06-01,0.87
1991-07-01,1.45
1991-08-01,1.29
1991-09-01,1.35
1991-10-01,0.7
1991-11-01,0.56
1991-12-01,1.02
1992-01-01,1.45
1992-02-01,1.52
1992-03-01,1.31
1992-04-01,0.82
1992-05-01,1.23
1992-06-01,1.25
1992-07-01,1.17
1992-08-01,1
1992-09-01,1.21
1992-10-01,1.27
1992-11-01,1.49
1992-12-01,1.08
1993-01-01,0.99
1993-02-01,1.33
1993-03-01,1.38
1993-04-01,1.48
1993-05-01,1.71
1993-06-01,1.49
1993-07-01,1.54
1993-08-01,1.83
1993-09-01,1.79
1993-10-01,1.79
1993-11-01,1.55
1993-12-01,1.21
1994-01-01,1.42
1994-02-01,1.38
1994-03-01,1.3
1994-04-01,1.63
1994-05-01,2.07
1994-06-01,1.82
1994-07-01,1.5
1994-08-01,1.51
1994-09-01,1.43
1994-10-01,1.5
1994-11-01,2.05
1994-12-01,1.59
1995-01-01,1.48
1995-02-01,1.44
1995-03-01,0.89
1995-04-01,0.93
1995-05-01,0.56
1995-06-01,0.91
1995-07-01,1.19
1995-08-01,1.64
1995-09-01,1.34
1995-10-01,1.24
1995-11-01,1.24
1995-12-01,1.28
1996-01-01,1.31
1996-02-01,1.26
1996-03-01,1.35
1996-04-01,1.42
1996-05-01,1.29
1996-06-01,1.33
1996-07-01,1.14
1996-08-01,1.48
1996-09-01,1.17
1996-10-01,1.4
1996-11-01,1.32
1996-12-01,1.4
1997-01-01,1.3
1997-02-01,1.36
1997-03-01,1.74
1997-04-01,1.63
1997-05-01,1.66
1997-06-01,1.46
1997-07-01,1.67
1997-08-01,1.51
1997-09-01,1.65
1997-10-01,1.58
1997-11-01,1.67
1997-12-01,1.53
1998-01-01,1.41
1998-02-01,1.32
1998-03-01,0.98
1998-04-01,1.12
1998-05-01,1.1
1998-06-01,1.01
1998-07-01,1.02
1998-08-01,1.02
1998-09-01,1.17
1998-10-01,1.39
1998-11-01,1.53
1998-12-01,1.27
1999-01-01,1.06
1999-02-01,1.17
1999-03-01,1.3
1999-04-01,1.03
1999-05-01,1.1
1999-06-01,1.41
1999-07-01,1.59
1999-08-01,1.21
1999-09-01,1.28
1999-10-01,1.38
1999-11-01,1.68
1999-12-01,1.56
2000-01-01,1.38
2000-02-01,1.25
2000-03-01,1.45
2000-04-01,1.47
2000-05-01,1.27
2000-06-01,1.47
2000-07-01,0.99
2000-08-01,1.04
2000-09-01,0.74
2000-10-01,0.89
2000-11-01,0.97
2000-12-01,0.9
2001-01-01,1.05
2001-02-01,0.96
2001-03-01,0.76
2001-04-01,0.84
2001-05-01,1.06
2001-06-01,0.92
2001-07-01,0.84
2001-08-01,1.04
2001-09-01,0.72
2001-10-01,0.54
2001-11-01,0.47
2001-12-01,0.4
2002-01-01,0.33
2002-02-01,0.72
2002-03-01,0.7
2002-04-01,0.95
2002-05-01,0.94
2002-06-01,1.3
2002-07-01,1.33
2002-08-01,1.21
2002-09-01,1.22
2002-10-01,0.97
2002-11-01,0.87
2002-12-01,0.99
2003-01-01,1.29
2003-02-01,0.9
2003-03-01,0.82
2003-04-01,0.79
2003-05-01,0.86
2003-06-01,1
2003-07-01,1.02
2003-08-01,1.13
2003-09-01,1.16
2003-10-01,1.52
2003-11-01,1.49
2003-12-01,1.45
2004-01-01,1.45
2004-02-01,1.11
2004-03-01,1.32
2004-04-01,1.67
2004-05-01,1.75
2004-06-01,1.5
2004-07-01,1.29
2004-08-01,1.3
2004-09-01,0.96
2004-10-01,1.03
2004-11-01,1.19
2004-12-01,1.32
2005-01-01,0.99
2005-02-01,1.26
2005-03-01,1.26
2005-04-01,1.45
2005-05-01,1.36
2005-06-01,1.56
2005-07-01,1.51
2005-08-01,1.46
2005-09-01,1.51
2005-10-01,1.64
2005-11-01,1.39
2005-12-01,1.58
2006-01-01,1.93
2006-02-01,2.34
2006-03-01,1.7
2006-04-01,1.45
2006-05-01,1.26
2006-06-01,1.44
2006-07-01,1.19
2006-08-01,1.11
2006-09-01,1.23
2006-10-01,1.12
2006-11-01,1.43
2006-12-01,1.76
2007-01-01,1.83
2007-02-01,1.63
2007-03-01,1.38
2007-04-01,1.41
2007-05-01,1.18
2007-06-01,1.19
2007-07-01,1.2
2007-08-01,1.23
2007-09-01,1.26
2007-10-01,1.2
2007-11-01,1.34
2007-12-01,1.17
2008-01-01,1.32
2008-02-01,0.95
2008-03-01,0.8
2008-04-01,0.91
2008-05-01,0.84
2008-06-01,0.9
2008-07-01,0.58
2008-08-01,0.57
2008-09-01,0.53
2008-10-01,0.29
2008-11-01,-0.02
2008-12-01,-0.09
2009-01-01,-0.27
2009-02-01,-0.45
2009-03-01,-0.56
2009-04-01,-0.25
2009-05-01,0.3
2009-06-01,0.5
2009-07-01,0.88
2009-08-01,0.98
2009-09-01,1.15
2009-10-01,1.29
2009-11-01,1.05
2009-12-01,0.94
2010-01-01,0.71
2010-02-01,1.23
2010-03-01,1.45
2010-04-01,1.53
2010-05-01,1.51
2010-06-01,1.67
2010-07-01,1.86
2010-08-01,1.33
2010-09-01,1.04
2010-10-01,1.05
2010-11-01,1.32
2010-12-01,1.16
2011-01-01,1.04
2011-02-01,1.18
2011-03-01,1.32
2011-04-01,1.32
2011-05-01,1.18
2011-06-01,1.38
2011-07-01,1.36
2011-08-01,1.28
2011-09-01,1.5
2011-10-01,1.44
2011-11-01,1.65
2011-12-01,1.52
2012-01-01,1.68
2012-02-01,1.39
2012-03-01,1.66
2012-04-01,1.45
2012-05-01,1.44
2012-06-01,1.33
2012-07-01,1.28
2012-08-01,1.17
2012-09-01,1.24
2012-10-01,1.19
2012-11-01,1.26
2012-12-01,1.44
2013-01-01,1.67
2013-02-01,1.43
2013-03-01,1.35
2013-04-01,1.26
2013-05-01,1.47
2013-06-01,1.5
2013-07-01,1.3
2013-08-01,1.51
2013-09-01,1.46
2013-10-01,1.65
2013-11-01,1.5
2013-12-01,1.27
2014-01-01,1.57
2014-02-01,1.55
2014-03-01,1.2
2014-04-01,1.43
2014-05-01,1.37
2014-06-01,1.52
2014-07-01,1.61
2014-08-01,1.54
2014-09-01,1.58
2014-10-01,1.52
2014-11-01,1.33
2014-12-01,1.66
2015-01-01,1.69
2015-02-01,1.68
2015-03-01,1.27
2015-04-01,0.99
2015-05-01,1.14
2015-06-01,1.12
2015-07-01,1.06
2015-08-01,1.3
2015-09-01,1.36
2015-10-01,1.45
2015-11-01,1.49
2015-12-01,1.48
2016-01-01,1.27
2016-02-01,1.16
2016-03-01,1.37
2016-04-01,1.27
2016-05-01,1.06
2016-06-01,1.12
2016-07-01,1.3
2016-08-01,1.24
2016-09-01,1.33
2016-10-01,1.22
2016-11-01,1.05
2016-12-01,0.81
2017-01-01,1.32
2017-02-01,1.74
2017-03-01,1.76
2017-04-01,1.43
2017-05-01,0.99
2017-06-01,1.19
2017-07-01,1.17
2017-08-01,1.19
2017-09-01,1.53
2017-10-01,1.37
2017-11-01,1.37
2017-12-01,1.25
2018-01-01,1.2
2018-02-01,1.31
2018-03-01,1.33
2018-04-01,1.4
2018-05-01,1.43
2018-06-01,1.64
2018-07-01,1.25
2018-08-01,1.25
2018-09-01,1.08
2018-10-01,1.17
2018-11-01,0.93
2018-12-01,0.89
2019-01-01,1.24
2019-02-01,0.84
2019-03-01,0.79
2019-04-01,1.18
2019-05-01,1.26
2019-06-01,1.15
2019-07-01,1.31
2019-08-01,1.31
2019-09-01,1.82
2019-10-01,1.47
2019-11-01,1.58
2019-12-01,1.47
2020-01-01,2.03
2020-02-01,2.19
