"Date","RIFSPPCUSNM"
2008-10-01,2.79
2008-11-01,2.5
2008-12-01,2.26
2009-01-01,2.2
2009-02-01,2.26
2009-03-01,2.24
2009-04-01,2.2
2009-05-01,2.2
2009-06-01,2.22
2009-07-01,2.2
2009-08-01,2.19
2009-09-01,2.17
2009-10-01,2.16
2009-11-01,2.14
2009-12-01,2.16
2010-01-01,2.15
2010-02-01,2.15
