"Date","MVMTD027MNFRBDAL"
1942-01-01,40.6
1942-02-01,42
1942-03-01,44.6
1942-04-01,46.9
1942-05-01,49
1942-06-01,49.9
1942-07-01,55
1942-08-01,58.3
1942-09-01,61
1942-10-01,63.8
1942-11-01,67.8
1942-12-01,78.2
1943-01-01,79.2
1943-02-01,80.6
1943-03-01,81.4
1943-04-01,82.4
1943-05-01,97.6
1943-06-01,97.7
1943-07-01,100.9
1943-08-01,102.1
1943-09-01,113.7
1943-10-01,118.2
1943-11-01,118
1943-12-01,117.3
1944-01-01,117.3
1944-02-01,128.4
1944-03-01,130.3
1944-04-01,129.6
1944-05-01,130.2
1944-06-01,142.6
1944-07-01,143.5
1944-08-01,147.6
1944-09-01,146.9
1944-10-01,147.2
1944-11-01,147.4
1944-12-01,164
1945-01-01,165.4
1945-02-01,165.8
1945-03-01,166
1945-04-01,166.4
1945-05-01,166.3
1945-06-01,166.8
1945-07-01,187
1945-08-01,187.2
1945-09-01,186.7
1945-10-01,186.9
1945-11-01,187.2
1945-12-01,203.8
1946-01-01,206
1946-02-01,206.9
1946-03-01,204.1
1946-04-01,200.5
1946-05-01,199.1
1946-06-01,195.4
1946-07-01,192.7
1946-08-01,191
1946-09-01,188.5
1946-10-01,186.9
1946-11-01,184.3
1946-12-01,181.2
1947-01-01,181.1
1947-02-01,180.2
1947-03-01,177.4
1947-04-01,175.2
1947-05-01,174.6
1947-06-01,173
1947-07-01,172.8
1947-08-01,172.9
1947-09-01,172.2
1947-10-01,170.4
1947-11-01,168.9
1947-12-01,167.3
1948-01-01,166.4
1948-02-01,164.5
1948-03-01,163.1
1948-04-01,162.7
1948-05-01,160.7
1948-06-01,162.2
1948-07-01,161.2
1948-08-01,160.7
1948-09-01,159.8
1948-10-01,159.2
1948-11-01,159.3
1948-12-01,159.3
1949-01-01,159
1949-02-01,158.9
1949-03-01,157.9
1949-04-01,157.7
1949-05-01,157.8
1949-06-01,158.1
1949-07-01,158.2
1949-08-01,159.2
1949-09-01,159.3
1949-10-01,159
1949-11-01,159.1
1949-12-01,159.1
1950-01-01,158.2
1950-02-01,157.9
1950-03-01,157.3
1950-04-01,157.2
1950-05-01,157.5
1950-06-01,157.4
1950-07-01,157.3
1950-08-01,157.4
1950-09-01,155.5
1950-10-01,154.1
1950-11-01,154
1950-12-01,153.7
1951-01-01,153
1951-02-01,152.9
1951-03-01,151.6
1951-04-01,137.6
1951-05-01,137.2
1951-06-01,137.1
1951-07-01,138.8
1951-08-01,139.8
1951-09-01,139.7
1951-10-01,146.2
1951-11-01,141.9
1951-12-01,141.5
1952-01-01,141.9
1952-02-01,141.8
1952-03-01,140.8
1952-04-01,141.9
1952-05-01,142.7
1952-06-01,140.3
1952-07-01,143.8
1952-08-01,143.3
1952-09-01,142.5
1952-10-01,145.7
1952-11-01,147.6
1952-12-01,147.2
1953-01-01,147
1953-02-01,146.5
1953-03-01,143.7
1953-04-01,142.9
1953-05-01,144.3
1953-06-01,144.2
1953-07-01,150.9
1953-08-01,150.8
1953-09-01,151.4
1953-10-01,152
1953-11-01,153.5
1953-12-01,154.4
1954-01-01,155.1
1954-02-01,155.7
1954-03-01,151.5
1954-04-01,153.2
1954-05-01,154.3
1954-06-01,152.1
1954-07-01,152.1
1954-08-01,155.4
1954-09-01,155.1
1954-10-01,159
1954-11-01,158.6
1954-12-01,158.2
1955-01-01,157.3
1955-02-01,156.5
1955-03-01,152.2
1955-04-01,155
1955-05-01,157.1
1955-06-01,153.3
1955-07-01,155.6
1955-08-01,155.9
1955-09-01,157.1
1955-10-01,160.7
1955-11-01,160
1955-12-01,160.5
1956-01-01,161.4
1956-02-01,161.3
1956-03-01,156.1
1956-04-01,155.5
1956-05-01,156.8
1956-06-01,152.2
1956-07-01,150.9
1956-08-01,152.2
1956-09-01,151.5
1956-10-01,152.8
1956-11-01,154.1
1956-12-01,154
1957-01-01,156.1
1957-02-01,155.9
1957-03-01,155.2
1957-04-01,154.4
1957-05-01,154.2
1957-06-01,148.5
1957-07-01,151.7
1957-08-01,153.3
1957-09-01,154.6
1957-10-01,154.3
1957-11-01,158.9
1957-12-01,162.2
1958-01-01,162.9
1958-02-01,163.9
1958-03-01,162.8
1958-04-01,166.3
1958-05-01,166.6
1958-06-01,166
1958-07-01,164.4
1958-08-01,163.1
1958-09-01,161.1
1958-10-01,165.6
1958-11-01,169.4
1958-12-01,168.5
1959-01-01,172.1
1959-02-01,172.4
1959-03-01,168.8
1959-04-01,172.1
1959-05-01,172.1
1959-06-01,168.6
1959-07-01,173.7
1959-08-01,174
1959-09-01,172.5
1959-10-01,178
1959-11-01,176.8
1959-12-01,177
1960-01-01,179.7
1960-02-01,179.8
1960-03-01,178.8
1960-04-01,180.4
1960-05-01,180.6
1960-06-01,178.5
1960-07-01,183.8
1960-08-01,182.8
1960-09-01,182.5
1960-10-01,185.5
1960-11-01,183.9
1960-12-01,186.2
1961-01-01,185.5
1961-02-01,186.7
1961-03-01,183.4
1961-04-01,185.3
1961-05-01,185.7
1961-06-01,183.2
1961-07-01,187.1
1961-08-01,186.3
1961-09-01,187.9
1961-10-01,191.3
1961-11-01,191.2
1961-12-01,191.2
1962-01-01,192.7
1962-02-01,193.5
1962-03-01,193.5
1962-04-01,195.5
1962-05-01,195.4
1962-06-01,192.4
1962-07-01,192.9
1962-08-01,196.3
1962-09-01,195.3
1962-10-01,198.9
1962-11-01,201.8
1962-12-01,200.7
1963-01-01,201.5
1963-02-01,202.1
1963-03-01,200.7
1963-04-01,201.3
1963-05-01,200.9
1963-06-01,200.2
1963-07-01,199.9
1963-08-01,199.4
1963-09-01,200.3
1963-10-01,199.9
1963-11-01,202.1
1963-12-01,202.8
1964-01-01,203.9
1964-02-01,205.3
1964-03-01,204
1964-04-01,202.4
1964-05-01,203.4
1964-06-01,202.3
1964-07-01,201.6
1964-08-01,201.3
1964-09-01,203.6
1964-10-01,205.1
1964-11-01,207.3
1964-12-01,207.9
1965-01-01,210
1965-02-01,210.2
1965-03-01,207.6
1965-04-01,208.1
1965-05-01,207.5
1965-06-01,204.6
1965-07-01,204.4
1965-08-01,203.6
1965-09-01,202.6
1965-10-01,206.4
1965-11-01,208.5
1965-12-01,206.9
1966-01-01,209.7
1966-02-01,208.4
1966-03-01,207.5
1966-04-01,207.1
1966-05-01,205.5
1966-06-01,200.3
1966-07-01,199.8
1966-08-01,200.3
1966-09-01,202.2
1966-10-01,206.6
1966-11-01,208
1966-12-01,211.4
1967-01-01,213.5
1967-02-01,212.9
1967-03-01,215.4
1967-04-01,210.7
1967-05-01,208.4
1967-06-01,202
1967-07-01,206.9
1967-08-01,208.4
1967-09-01,209.4
1967-10-01,212.4
1967-11-01,214.8
1967-12-01,214.1
1968-01-01,218.2
1968-02-01,223.7
1968-03-01,221.2
1968-04-01,218.2
1968-05-01,221.2
1968-06-01,217.3
1968-07-01,223.3
1968-08-01,226.9
1968-09-01,225.6
1968-10-01,227.9
1968-11-01,226.2
1968-12-01,221.9
1969-01-01,224.7
1969-02-01,222
1969-03-01,222
1969-04-01,216.4
1969-05-01,217.5
1969-06-01,211.2
1969-07-01,214.9
1969-08-01,213.7
1969-09-01,205.4
1969-10-01,219.7
1969-11-01,220.7
1969-12-01,214.4
1970-01-01,217.7
1970-02-01,222
1970-03-01,222.7
1970-04-01,217.7
1970-05-01,220.2
1970-06-01,217.4
1970-07-01,224.6
1970-08-01,218
1970-09-01,224.1
1970-10-01,230.7
1970-11-01,237.7
1970-12-01,238.7
1971-01-01,240.7
1971-02-01,242.1
1971-03-01,241.6
1971-04-01,237
1971-05-01,231.4
1971-06-01,229
1971-07-01,235.7
1971-08-01,243.8
1971-09-01,245
1971-10-01,247.5
1971-11-01,250.9
1971-12-01,259.4
1972-01-01,258.5
1972-02-01,258.4
1972-03-01,257.6
1972-04-01,256.7
1972-05-01,253.6
1972-06-01,252.5
1972-07-01,252
1972-08-01,253
1972-09-01,250.6
1972-10-01,252
1972-11-01,259.3
1972-12-01,260.2
1973-01-01,259.7
1973-02-01,257.4
1973-03-01,259.1
1973-04-01,259.5
1973-05-01,257
1973-06-01,251.6
1973-07-01,249
1973-08-01,249.3
1973-09-01,254.2
1973-10-01,251.2
1973-11-01,261.1
1973-12-01,261.2
