"Date","TY24MCD"
2021-04-01,0.14
2021-05-01,0.16
2021-06-01,0.16
2021-07-01,0.25
2021-08-01,0.25
2021-09-01,0.2
2021-10-01,0.28
2021-11-01,0.28
2021-12-01,0.48
2022-01-01,0.52
2022-02-01,1.18
2022-03-01,1.18
2022-04-01,1.44
2022-05-01,2.28
2022-06-01,2.7
2022-07-01,2.92
2022-08-01,2.89
2022-09-01,3.45
2022-10-01,4.22
2022-11-01,4.51
2022-12-01,4.38
2023-01-01,4.41
2023-02-01,4.21
2023-03-01,4.81
2023-04-01,4.81
2023-05-01,4.06
2023-06-01,4.04
2023-07-01,4.87
2023-08-01,4.87
2023-09-01,4.85
2023-10-01,5.03
2023-11-01,5.03
