"Date","NDRRCA12MCD"
2021-04-01,0.9
2021-05-01,0.89
2021-06-01,0.89
2021-07-01,0.89
2021-08-01,0.89
2021-09-01,0.89
2021-10-01,0.89
2021-11-01,0.89
2021-12-01,0.89
2022-01-01,0.88
2022-02-01,0.89
2022-03-01,0.89
2022-04-01,0.9
2022-05-01,0.92
2022-06-01,0.96
2022-07-01,1.06
2022-08-01,1.21
2022-09-01,1.35
2022-10-01,1.46
2022-11-01,1.65
2022-12-01,1.82
2023-01-01,2.03
2023-02-01,2.11
2023-03-01,2.24
2023-04-01,2.24
2023-05-01,2.29
2023-06-01,2.34
2023-07-01,2.47
2023-08-01,2.47
2023-09-01,2.51
2023-10-01,2.54
2023-11-01,2.54
