"Date","HQMCB19YR"
1984-01-01,11.47
1984-02-01,11.88
1984-03-01,12.25
1984-04-01,12.34
1984-05-01,12.83
1984-06-01,12.83
1984-07-01,12.85
1984-08-01,12.47
1984-09-01,12.51
1984-10-01,12.05
1984-11-01,11.82
1984-12-01,12.03
1985-01-01,11.82
1985-02-01,11.58
1985-03-01,11.88
1985-04-01,11.62
1985-05-01,11.4
1985-06-01,11.03
1985-07-01,11.33
1985-08-01,11.32
1985-09-01,11.47
1985-10-01,11.26
1985-11-01,10.83
1985-12-01,10.5
1986-01-01,9.91
1986-02-01,9.85
1986-03-01,9.32
1986-04-01,8.97
1986-05-01,9.21
1986-06-01,9.51
1986-07-01,9.53
1986-08-01,9.49
1986-09-01,9.58
1986-10-01,9.73
1986-11-01,9.59
1986-12-01,9.33
1987-01-01,9
1987-02-01,9.01
1987-03-01,8.93
1987-04-01,9.59
1987-05-01,10.11
1987-06-01,10.02
1987-07-01,10.08
1987-08-01,10.28
1987-09-01,10.69
1987-10-01,10.8
1987-11-01,10.23
1987-12-01,10.29
1988-01-01,9.91
1988-02-01,9.54
1988-03-01,9.65
1988-04-01,10
1988-05-01,10.34
1988-06-01,10.16
1988-07-01,10.25
1988-08-01,10.29
1988-09-01,10.07
1988-10-01,9.88
1988-11-01,9.86
1988-12-01,9.86
1989-01-01,9.83
1989-02-01,9.88
1989-03-01,9.97
1989-04-01,9.8
1989-05-01,9.64
1989-06-01,9.23
1989-07-01,9.07
1989-08-01,9.06
1989-09-01,9.11
1989-10-01,9.01
1989-11-01,8.93
1989-12-01,8.95
1990-01-01,9.14
1990-02-01,9.38
1990-03-01,9.46
1990-04-01,9.6
1990-05-01,9.69
1990-06-01,9.5
1990-07-01,9.52
1990-08-01,9.95
1990-09-01,10.13
1990-10-01,10.16
1990-11-01,9.99
1990-12-01,9.74
1991-01-01,9.7
1991-02-01,9.44
1991-03-01,9.63
1991-04-01,9.46
1991-05-01,9.5
1991-06-01,9.65
1991-07-01,9.63
1991-08-01,9.39
1991-09-01,9.25
1991-10-01,9.31
1991-11-01,9.32
1991-12-01,9.08
1992-01-01,8.94
1992-02-01,9.1
1992-03-01,9.13
1992-04-01,9.08
1992-05-01,9
1992-06-01,8.9
1992-07-01,8.75
1992-08-01,8.59
1992-09-01,8.54
1992-10-01,8.76
1992-11-01,8.8
1992-12-01,8.58
1993-01-01,8.48
1993-02-01,8.18
1993-03-01,7.91
1993-04-01,7.96
1993-05-01,8.04
1993-06-01,7.92
1993-07-01,7.68
1993-08-01,7.4
1993-09-01,7.16
1993-10-01,7.15
1993-11-01,7.44
1993-12-01,7.43
1994-01-01,7.42
1994-02-01,7.57
1994-03-01,7.96
1994-04-01,8.35
1994-05-01,8.43
1994-06-01,8.44
1994-07-01,8.58
1994-08-01,8.51
1994-09-01,8.76
1994-10-01,8.96
1994-11-01,9.02
1994-12-01,8.73
1995-01-01,8.71
1995-02-01,8.53
1995-03-01,8.43
1995-04-01,8.37
1995-05-01,7.95
1995-06-01,7.58
1995-07-01,7.73
1995-08-01,7.89
1995-09-01,7.6
