"Date","CP3M"
1971-04-01,4.57
1971-05-01,5.06
1971-06-01,5.38
1971-07-01,5.75
1971-08-01,5.74
1971-09-01,5.69
1971-10-01,5.42
1971-11-01,4.84
1971-12-01,4.66
1972-01-01,4.03
1972-02-01,3.81
1972-03-01,4.1
1972-04-01,4.55
1972-05-01,4.45
1972-06-01,4.6
1972-07-01,4.83
1972-08-01,4.75
1972-09-01,5.07
1972-10-01,5.21
1972-11-01,5.18
1972-12-01,5.4
1973-01-01,5.77
1973-02-01,6.17
1973-03-01,6.76
1973-04-01,7.13
1973-05-01,7.26
1973-06-01,8
1973-07-01,9.26
1973-08-01,10.26
1973-09-01,10.31
1973-10-01,9.14
1973-11-01,9.11
1973-12-01,9.28
1974-01-01,8.86
1974-02-01,8
1974-03-01,8.64
1974-04-01,9.92
1974-05-01,10.82
1974-06-01,11.18
1974-07-01,11.93
1974-08-01,11.79
1974-09-01,11.36
1974-10-01,9.55
1974-11-01,8.95
1974-12-01,9.18
1975-01-01,7.39
1975-02-01,6.36
1975-03-01,6.06
1975-04-01,6.11
1975-05-01,5.7
1975-06-01,5.67
1975-07-01,6.32
1975-08-01,6.59
1975-09-01,6.79
1975-10-01,6.35
1975-11-01,5.78
1975-12-01,5.88
1976-01-01,5.16
1976-02-01,5.13
1976-03-01,5.25
1976-04-01,5.09
1976-05-01,5.44
1976-06-01,5.83
1976-07-01,5.54
1976-08-01,5.36
1976-09-01,5.33
1976-10-01,5.1
1976-11-01,4.98
1976-12-01,4.66
1977-01-01,4.72
1977-02-01,4.76
1977-03-01,4.75
1977-04-01,4.75
1977-05-01,5.26
1977-06-01,5.42
1977-07-01,5.39
1977-08-01,5.76
1977-09-01,6.1
1977-10-01,6.51
1977-11-01,6.54
1977-12-01,6.61
1978-01-01,6.75
1978-02-01,6.76
1978-03-01,6.75
1978-04-01,6.82
1978-05-01,7.06
1978-06-01,7.59
1978-07-01,7.85
1978-08-01,7.83
1978-09-01,8.39
1978-10-01,8.98
1978-11-01,10.14
1978-12-01,10.37
1979-01-01,10.25
1979-02-01,9.95
1979-03-01,9.9
1979-04-01,9.85
1979-05-01,9.95
1979-06-01,9.76
1979-07-01,9.87
1979-08-01,10.42
1979-09-01,11.63
1979-10-01,13.23
1979-11-01,13.57
1979-12-01,13.24
1980-01-01,13.04
1980-02-01,13.78
1980-03-01,16.81
1980-04-01,15.78
1980-05-01,9.49
1980-06-01,8.27
1980-07-01,8.41
1980-08-01,9.57
1980-09-01,10.97
1980-10-01,12.52
1980-11-01,15.18
1980-12-01,18.07
1981-01-01,16.58
1981-02-01,15.49
1981-03-01,13.94
1981-04-01,14.56
1981-05-01,17.56
1981-06-01,16.32
1981-07-01,17
1981-08-01,17.23
1981-09-01,16.09
1981-10-01,14.85
1981-11-01,12.16
1981-12-01,12.12
1982-01-01,13.09
1982-02-01,14.53
1982-03-01,13.8
1982-04-01,14.06
1982-05-01,13.42
1982-06-01,13.96
1982-07-01,12.94
1982-08-01,10.15
1982-09-01,10.36
1982-10-01,9.2
1982-11-01,8.69
1982-12-01,8.51
1983-01-01,8.17
1983-02-01,8.34
1983-03-01,8.52
1983-04-01,8.53
1983-05-01,8.33
1983-06-01,9
1983-07-01,9.25
1983-08-01,9.54
1983-09-01,9.24
1983-10-01,8.99
1983-11-01,9.1
1983-12-01,9.53
1984-01-01,9.2
1984-02-01,9.32
1984-03-01,9.83
1984-04-01,10.18
1984-05-01,10.65
1984-06-01,10.98
1984-07-01,11.19
1984-08-01,11.18
1984-09-01,11.04
1984-10-01,10.12
1984-11-01,9.03
1984-12-01,8.44
1985-01-01,8.03
1985-02-01,8.54
1985-03-01,8.9
1985-04-01,8.37
1985-05-01,7.83
1985-06-01,7.35
1985-07-01,7.56
1985-08-01,7.72
1985-09-01,7.83
1985-10-01,7.8
1985-11-01,7.77
1985-12-01,7.75
1986-01-01,7.71
1986-02-01,7.63
1986-03-01,7.2
1986-04-01,6.6
1986-05-01,6.62
1986-06-01,6.71
1986-07-01,6.33
1986-08-01,5.92
1986-09-01,5.68
1986-10-01,5.68
1986-11-01,5.76
1986-12-01,6.1
1987-01-01,5.84
1987-02-01,6.05
1987-03-01,6.16
1987-04-01,6.45
1987-05-01,6.93
1987-06-01,6.92
1987-07-01,6.65
1987-08-01,6.71
1987-09-01,7.37
1987-10-01,7.89
1987-11-01,7.17
1987-12-01,7.61
1988-01-01,6.87
1988-02-01,6.58
1988-03-01,6.62
1988-04-01,6.86
1988-05-01,7.19
1988-06-01,7.49
1988-07-01,7.82
1988-08-01,8.26
1988-09-01,8.17
1988-10-01,8.24
1988-11-01,8.66
1988-12-01,9.11
1989-01-01,9.04
1989-02-01,9.37
1989-03-01,9.95
1989-04-01,9.81
1989-05-01,9.47
1989-06-01,9.11
1989-07-01,8.68
1989-08-01,8.57
1989-09-01,8.7
1989-10-01,8.53
1989-11-01,8.35
1989-12-01,8.29
1990-01-01,8.1
1990-02-01,8.14
1990-03-01,8.28
1990-04-01,8.3
1990-05-01,8.25
1990-06-01,8.14
1990-07-01,7.99
1990-08-01,7.88
1990-09-01,7.96
1990-10-01,7.98
1990-11-01,7.91
1990-12-01,7.8
1991-01-01,7.1
1991-02-01,6.49
1991-03-01,6.41
1991-04-01,6.07
1991-05-01,5.92
1991-06-01,6.11
1991-07-01,6.05
1991-08-01,5.72
1991-09-01,5.57
1991-10-01,5.35
1991-11-01,4.98
1991-12-01,4.61
1992-01-01,4.07
1992-02-01,4.11
1992-03-01,4.3
1992-04-01,4.04
1992-05-01,3.88
1992-06-01,3.92
1992-07-01,3.44
1992-08-01,3.38
1992-09-01,3.24
1992-10-01,3.33
1992-11-01,3.66
1992-12-01,3.67
1993-01-01,3.25
1993-02-01,3.18
1993-03-01,3.17
1993-04-01,3.14
1993-05-01,3.14
1993-06-01,3.25
1993-07-01,3.2
1993-08-01,3.18
1993-09-01,3.16
1993-10-01,3.26
1993-11-01,3.4
1993-12-01,3.36
1994-01-01,3.19
1994-02-01,3.49
1994-03-01,3.85
1994-04-01,4.05
1994-05-01,4.57
1994-06-01,4.57
1994-07-01,4.75
1994-08-01,4.84
1994-09-01,5.02
1994-10-01,5.51
1994-11-01,5.81
1994-12-01,6.26
1995-01-01,6.22
1995-02-01,6.15
1995-03-01,6.15
1995-04-01,6.12
1995-05-01,6.06
1995-06-01,5.94
1995-07-01,5.79
1995-08-01,5.82
1995-09-01,5.74
1995-10-01,5.82
1995-11-01,5.74
1995-12-01,5.64
1996-01-01,5.4
1996-02-01,5.15
1996-03-01,5.31
1996-04-01,5.39
1996-05-01,5.39
1996-06-01,5.49
1996-07-01,5.53
1996-08-01,5.42
1996-09-01,5.52
1996-10-01,5.43
1996-11-01,5.41
1996-12-01,5.51
1997-01-01,5.45
1997-02-01,5.4
1997-03-01,5.56
1997-04-01,5.71
1997-05-01,5.69
1997-06-01,5.65
1997-07-01,5.57
1997-08-01,5.56
