"Date","TP10J10"
2000-02-01,4.29
2000-03-01,4.16
2000-04-01,3.98
2000-05-01,4.14
2000-06-01,4.09
2000-07-01,4.02
2000-08-01,4
2000-09-01,3.98
2000-10-01,3.9
2000-11-01,3.85
2000-12-01,3.75
2001-01-01,3.54
2001-02-01,3.43
2001-03-01,3.32
2001-04-01,3.33
2001-05-01,3.25
2001-06-01,3.27
2001-07-01,3.4
2001-08-01,3.33
2001-09-01,3.17
2001-10-01,3.1
2001-11-01,3.19
2001-12-01,3.52
2002-01-01,3.45
2002-02-01,3.31
2002-03-01,3.35
2002-04-01,3.12
2002-05-01,3.01
2002-06-01,3
2002-07-01,2.83
2002-08-01,2.42
2002-09-01,2.15
2002-10-01,2.29
2002-11-01,2.35
2002-12-01,2.34
2003-01-01,2.09
2003-02-01,1.72
2003-03-01,1.57
2003-04-01,1.79
2003-05-01,1.54
2003-06-01,1.29
2003-07-01,1.66
2003-08-01,1.89
2003-09-01,1.68
2003-10-01,1.51
2003-11-01,1.45
2003-12-01,1.49
2004-01-01,1.3
2004-02-01,1.06
2004-03-01,0.71
2004-04-01,1.19
2004-05-01,1.5
2004-06-01,1.55
2004-07-01,1.41
2004-08-01,1.21
2004-09-01,1.17
2004-10-01,1.02
2004-11-01,0.93
2004-12-01,0.93
2005-01-01,1.12
2005-02-01,1.06
2005-03-01,1.24
2005-04-01,1.16
2005-05-01,1.2
2005-06-01,1.33
2005-07-01,1.62
2005-08-01,1.64
2005-09-01,1.31
2005-10-01,1.58
2005-11-01,1.91
2005-12-01,2.07
2006-01-01,1.91
2006-02-01,1.94
2006-03-01,2.03
2006-04-01,2.16
2006-05-01,2.15
2006-06-01,2.34
2006-07-01,2.39
2006-08-01,2.23
2006-09-01,2.43
2006-10-01,2.62
2006-11-01,2.53
2006-12-01,2.28
2007-01-01,2.45
2007-02-01,2.29
2007-03-01,1.91
2007-04-01,1.97
2007-05-01,2.18
2007-06-01,2.69
2007-07-01,2.74
2007-08-01,2.64
2007-09-01,2.24
2007-10-01,1.94
2007-11-01,1.01
2007-12-01,0.98
2008-01-01,0.44
2008-02-01,-0.01
2008-03-01,-0.56
2008-04-01,-0.26
2008-05-01,-0.17
2008-06-01,-0.16
2008-07-01,-0.26
2008-08-01,0.37
2008-09-01,1.31
2008-10-01,4.24
2008-11-01,5.14
2008-12-01,6.34
2009-01-01,5.11
2009-02-01,2.44
2009-03-01,1.24
2009-04-01,1.02
2009-05-01,0.85
2009-06-01,0.52
2009-07-01,0.54
2009-08-01,0.53
2009-09-01,1.03
2009-10-01,0.43
2009-11-01,0.09
2009-12-01,0.14
