"Date","REAINTRATREARAT1YE"
1982-01-01,4.3435848
1982-02-01,6.706843
1982-03-01,7.6732381
1982-04-01,8.1663554
1982-05-01,8.2654055
1982-06-01,9.2860217
1982-07-01,7.451547
1982-08-01,5.6719871
1982-09-01,3.3024834
1982-10-01,4.6296824
1982-11-01,5.7572395
1982-12-01,5.3496353
1983-01-01,4.6991893
1983-02-01,4.8695216
1983-03-01,5.3038169
1983-04-01,5.0879658
1983-05-01,5.2980312
1983-06-01,5.9606235
1983-07-01,4.7254495
1983-08-01,5.7389811
1983-09-01,5.4729138
1983-10-01,4.9258604
1983-11-01,4.6175617
1983-12-01,4.4511733
1984-01-01,5.3548319
1984-02-01,5.2046154
1984-03-01,5.6023441
1984-04-01,5.3643326
1984-05-01,5.3702453
1984-06-01,5.3761663
1984-07-01,6.2949869
1984-08-01,6.0669561
1984-09-01,6.4340674
1984-10-01,6.8646364
1984-11-01,6.3820939
1984-12-01,5.7547711
1985-01-01,5.1362167
1985-02-01,4.792826
1985-03-01,4.5414936
1985-04-01,5.7171796
1985-05-01,4.9895049
1985-06-01,3.5209103
1985-07-01,4.4601715
1985-08-01,4.2583367
1985-09-01,4.1177473
1985-10-01,4.0826807
1985-11-01,4.2082525
1985-12-01,4.4588181
1986-01-01,4.2948841
1986-02-01,4.4831766
1986-03-01,5.3159226
1986-04-01,5.1160155
1986-05-01,4.9667413
1986-06-01,4.4915424
1986-07-01,3.5049368
1986-08-01,3.3550985
1986-09-01,2.9964129
1986-10-01,2.7660447
1986-11-01,2.6917657
1986-12-01,2.4178807
1987-01-01,2.4841329
1987-02-01,2.2860399
1987-03-01,3.2924154
1987-04-01,2.5040952
1987-05-01,2.1089003
1987-06-01,2.8541465
1987-07-01,2.2699856
1987-08-01,2.5736129
1987-09-01,2.3782102
1987-10-01,3.6536838
1987-11-01,3.4340067
1987-12-01,2.4127504
1988-01-01,2.4716843
1988-02-01,2.8574932
1988-03-01,2.69979
1988-04-01,2.8051164
1988-05-01,2.9078451
1988-06-01,3.1271125
1988-07-01,2.519765
1988-08-01,3.2387426
1988-09-01,3.3583363
1988-10-01,3.1195532
1988-11-01,3.0438255
1988-12-01,3.2705519
1989-01-01,3.2522086
1989-02-01,3.4107659
1989-03-01,3.4665077
1989-04-01,4.0567583
1989-05-01,4.5063594
1989-06-01,4.4537932
1989-07-01,3.9023212
1989-08-01,3.7337629
1989-09-01,3.9695677
1989-10-01,3.9351917
1989-11-01,3.8626916
1989-12-01,3.9212537
1990-01-01,3.8222423
1990-02-01,3.3671184
1990-03-01,4.4317957
1990-04-01,4.5271299
1990-05-01,4.306266
1990-06-01,3.723638
1990-07-01,4.2893189
1990-08-01,3.9024277
1990-09-01,2.8532794
1990-10-01,2.5751771
1990-11-01,2.0646565
1990-12-01,2.0894376
1991-01-01,2.6883276
1991-02-01,3.005898
1991-03-01,2.8324823
1991-04-01,3.4151165
1991-05-01,3.1527912
1991-06-01,2.9628444
1991-07-01,2.8635075
1991-08-01,2.7017628
1991-09-01,2.6341698
1991-10-01,2.1585658
1991-11-01,2.0656466
1991-12-01,1.6402663
1992-01-01,1.5042928
1992-02-01,1.4546552
1992-03-01,1.3698845
1992-04-01,1.7498465
1992-05-01,1.4915908
1992-06-01,1.2528546
1992-07-01,1.2538584
