"Date","M1218AUSM144SNBR"
1875-01-01,30.9
1875-02-01,31.99
1875-03-01,35.24
1875-04-01,33.27
1875-05-01,31.92
1875-06-01,36.73
1875-07-01,32.43
1875-08-01,34.91
1875-09-01,31.7
1875-10-01,30.62
1875-11-01,35.97
1875-12-01,32.43
1876-01-01,33.19
1876-02-01,32.96
1876-03-01,35.97
1876-04-01,31.05
1876-05-01,32.58
1876-06-01,34.99
1876-07-01,31.92
1876-08-01,35.48
1876-09-01,32.43
1876-10-01,31.12
1876-11-01,33.42
1876-12-01,33.5
1877-01-01,31.7
1877-02-01,33.19
1877-03-01,33.81
1877-04-01,31.99
1877-05-01,35.73
1877-06-01,30.34
1877-07-01,31.84
1877-08-01,33.27
1877-09-01,33.57
1877-10-01,32.36
1877-11-01,34.12
1877-12-01,32.73
1878-01-01,36.39
1878-02-01,31.48
1878-03-01,29.58
1878-04-01,30.9
1878-05-01,33.11
1878-06-01,30.2
1878-07-01,35.48
1878-08-01,30.97
1878-09-01,34.12
1878-10-01,35.73
1878-11-01,30.69
1878-12-01,31.05
1879-01-01,34.44
1879-02-01,34.59
1879-03-01,32.29
1879-04-01,38.37
1879-05-01,34.99
1879-06-01,35.89
1879-07-01,40.64
1879-08-01,34.91
1879-09-01,37.84
1879-10-01,46.45
1879-11-01,42.46
1879-12-01,42.66
1880-01-01,44.57
1880-02-01,44.26
1880-03-01,45.5
1880-04-01,45.6
1880-05-01,42.27
1880-06-01,41.78
1880-07-01,43.55
1880-08-01,43.35
1880-09-01,43.05
1880-10-01,41.69
1880-11-01,47.1
1880-12-01,50
1881-01-01,48.08
1881-02-01,50.58
1881-03-01,48.75
1881-04-01,49.77
1881-05-01,53.09
1881-06-01,58.75
1881-07-01,49.54
1881-08-01,58.21
1881-09-01,56.62
1881-10-01,53.95
1881-11-01,52.36
1881-12-01,53.46
1882-01-01,50.58
1882-02-01,50.82
1882-03-01,50.82
1882-04-01,51.17
1882-05-01,50.82
1882-06-01,51.76
1882-07-01,53.21
1882-08-01,53.46
1882-09-01,55.46
1882-10-01,51.4
1882-11-01,53.95
1882-12-01,51.52
1883-01-01,53.46
1883-02-01,53.83
1883-03-01,53.95
1883-04-01,51.29
1883-05-01,54.32
1883-06-01,56.11
1883-07-01,54.45
1883-08-01,56.1
1883-09-01,54.08
1883-10-01,54.33
1883-11-01,52.72
1883-12-01,53.7
1884-01-01,54.2
1884-02-01,53.46
1884-03-01,53.09
1884-04-01,56.1
1884-05-01,56.49
1884-06-01,49.09
1884-07-01,50
1884-08-01,49.09
1884-09-01,49.43
1884-10-01,48.75
1884-11-01,46.24
1884-12-01,51.05
1885-01-01,51.29
1885-02-01,48.08
1885-03-01,48.53
1885-04-01,51.05
1885-05-01,48.64
1885-06-01,52.48
1885-07-01,54.83
1885-08-01,50.82
1885-09-01,53.21
1885-10-01,55.21
1885-11-01,57.28
1885-12-01,58.61
1886-01-01,55.98
1886-02-01,58.34
1886-03-01,60.67
1886-04-01,56.75
1886-05-01,55.46
1886-06-01,60.26
1886-07-01,62.66
1886-08-01,60.95
1886-09-01,62.52
1886-10-01,60.81
1886-11-01,64.57
1886-12-01,66.37
1887-01-01,62.95
1887-02-01,65.31
1887-03-01,71.45
1887-04-01,70.31
1887-05-01,69.18
1887-06-01,74.99
1887-07-01,68.39
1887-08-01,69.66
1887-09-01,70.15
1887-10-01,66.37
1887-11-01,70.63
1887-12-01,66.99
1888-01-01,65.77
1888-02-01,67.76
1888-03-01,65.77
1888-04-01,67.14
1888-05-01,69.82
1888-06-01,68.55
1888-07-01,68.87
1888-08-01,71.62
1888-09-01,69.82
1888-10-01,75.51
1888-11-01,70.96
1888-12-01,71.78
1889-01-01,74.3
1889-02-01,74.99
1889-03-01,74.13
1889-04-01,72.28
1889-05-01,74.99
1889-06-01,74.13
1889-07-01,78.7
1889-08-01,76.38
1889-09-01,74.13
1889-10-01,78.89
1889-11-01,77.98
1889-12-01,76.91
1890-01-01,82.6
1890-02-01,81.28
1890-03-01,82.04
1890-04-01,85.11
1890-05-01,90.57
1890-06-01,86.1
1890-07-01,89.13
1890-08-01,88.31
1890-09-01,89.74
1890-10-01,89.33
1890-11-01,86.9
1890-12-01,82.22
1891-01-01,83.37
1891-02-01,82.99
1891-03-01,80.54
1891-04-01,85.11
1891-05-01,81.66
1891-06-01,82.6
1891-07-01,86.5
1891-08-01,86.7
1891-09-01,95.06
1891-10-01,88.31
1891-11-01,86.5
1891-12-01,87.5
1892-01-01,87.1
1892-02-01,94.41
1892-03-01,91.41
1892-04-01,89.33
1892-05-01,87.5
1892-06-01,94.41
1892-07-01,91.83
1892-08-01,95.72
1892-09-01,96.38
1892-10-01,93.54
1892-11-01,96.38
1892-12-01,98.4
1893-01-01,97.72
1893-02-01,99.08
1893-03-01,97.95
1893-04-01,95.72
1893-05-01,97.27
1893-06-01,87.3
1893-07-01,81.28
1893-08-01,69.5
1893-09-01,73.28
1893-10-01,74.64
1893-11-01,79.07
1893-12-01,79.25
1894-01-01,81.1
1894-02-01,76.56
1894-03-01,79.62
1894-04-01,78.7
1894-05-01,81.47
1894-06-01,79.98
1894-07-01,79.25
1894-08-01,86.1
1894-09-01,83.37
1894-10-01,85.31
1894-11-01,85.11
1894-12-01,84.92
1895-01-01,87.3
1895-02-01,80.72
1895-03-01,84.72
1895-04-01,88.1
1895-05-01,90.78
1895-06-01,88.92
1895-07-01,95.28
1895-08-01,91.62
1895-09-01,89.54
1895-10-01,97.05
1895-11-01,93.33
1895-12-01,92.9
1896-01-01,88.92
1896-02-01,87.1
1896-03-01,85.31
1896-04-01,88.31
1896-05-01,85.7
1896-06-01,88.31
1896-07-01,90.36
1896-08-01,81.47
1896-09-01,83.37
1896-10-01,84.33
1896-11-01,84.53
1896-12-01,87.7
