"Date","MSWP3"
2000-07-01,7.14
2000-08-01,6.99
2000-09-01,6.81
2000-10-01,6.67
2000-11-01,6.61
2000-12-01,6.07
2001-01-01,5.56
2001-02-01,5.44
2001-03-01,5.17
2001-04-01,5.12
2001-05-01,5.19
2001-06-01,5.08
2001-07-01,5.05
2001-08-01,4.74
2001-09-01,4.2
2001-10-01,3.8
2001-11-01,3.84
2001-12-01,4.33
2002-01-01,4.18
2002-02-01,4.08
2002-03-01,4.58
2002-04-01,4.45
2002-05-01,4.25
2002-06-01,3.97
2002-07-01,3.56
2002-08-01,3.08
2002-09-01,2.84
2002-10-01,2.81
2002-11-01,2.79
2002-12-01,2.73
2003-01-01,2.61
2003-02-01,2.46
2003-03-01,2.36
2003-04-01,2.43
2003-05-01,2.05
2003-06-01,1.8
2003-07-01,2.23
2003-08-01,2.84
2003-09-01,2.65
2003-10-01,2.69
2003-11-01,2.84
2003-12-01,2.83
2004-01-01,2.65
2004-02-01,2.63
2004-03-01,2.38
2004-04-01,2.97
2004-05-01,3.53
2004-06-01,3.71
2004-07-01,3.52
2004-08-01,3.31
2004-09-01,3.25
2004-10-01,3.25
2004-11-01,3.5
2004-12-01,3.61
2005-01-01,3.78
2005-02-01,3.9
2005-03-01,4.31
2005-04-01,4.24
2005-05-01,4.13
2005-06-01,4.05
2005-07-01,4.3
2005-08-01,4.48
2005-09-01,4.36
2005-10-01,4.71
2005-11-01,4.88
2005-12-01,4.87
2006-01-01,4.8
2006-02-01,5.05
2006-03-01,5.16
2006-04-01,5.33
2006-05-01,5.42
2006-06-01,5.56
2006-07-01,5.57
2006-08-01,5.3
2006-09-01,5.13
2006-10-01,5.15
2006-11-01,5.03
2006-12-01,4.94
2007-01-01,5.16
2007-02-01,5.15
2007-03-01,4.92
2007-04-01,5.01
2007-05-01,5.12
2007-06-01,5.46
2007-07-01,5.37
2007-08-01,5
2007-09-01,4.73
2007-10-01,4.68
2007-11-01,4.26
2007-12-01,4.06
2008-01-01,3.31
2008-02-01,3.06
2008-03-01,2.82
2008-04-01,3.18
2008-05-01,3.53
2008-06-01,4
2008-07-01,3.86
2008-08-01,3.74
2008-09-01,3.52
2008-10-01,3.28
2008-11-01,2.69
2008-12-01,2
2009-01-01,1.75
2009-02-01,1.98
2009-03-01,1.93
2009-04-01,1.86
2009-05-01,1.85
2009-06-01,2.26
2009-07-01,2.03
2009-08-01,2.15
2009-09-01,1.91
2009-10-01,1.89
2009-11-01,1.72
2009-12-01,1.8
2010-01-01,1.82
2010-02-01,1.74
2010-03-01,1.74
2010-04-01,1.81
2010-05-01,1.65
2010-06-01,1.52
2010-07-01,1.24
2010-08-01,1.01
2010-09-01,0.97
2010-10-01,0.78
2010-11-01,0.91
2010-12-01,1.26
2011-01-01,1.31
2011-02-01,1.52
2011-03-01,1.4
2011-04-01,1.45
2011-05-01,1.19
2011-06-01,1.02
2011-07-01,1
2011-08-01,0.68
2011-09-01,0.65
2011-10-01,0.82
2011-11-01,0.82
2011-12-01,0.83
2012-01-01,0.71
2012-02-01,0.67
2012-03-01,0.75
2012-04-01,0.71
2012-05-01,0.71
2012-06-01,0.65
2012-07-01,0.54
2012-08-01,0.55
2012-09-01,0.47
2012-10-01,0.48
2012-11-01,0.46
2012-12-01,0.47
2013-01-01,0.52
2013-02-01,0.55
2013-03-01,0.53
2013-04-01,0.48
2013-05-01,0.53
2013-06-01,0.74
2013-07-01,0.81
2013-08-01,0.87
2013-09-01,0.92
2013-10-01,0.74
2013-11-01,0.67
2013-12-01,0.77
2014-01-01,0.88
2014-02-01,0.81
2014-03-01,0.92
2014-04-01,0.98
2014-05-01,0.93
2014-06-01,1.01
2014-07-01,1.11
2014-08-01,1.12
2014-09-01,1.25
2014-10-01,1.11
2014-11-01,1.15
2014-12-01,1.24
2015-01-01,1.1
2015-02-01,1.2
2015-03-01,1.23
2015-04-01,1.1
2015-05-01,1.2
2015-06-01,1.29
2015-07-01,1.25
2015-08-01,1.2
2015-09-01,1.11
2015-10-01,0.99
2015-11-01,1.22
2015-12-01,1.32
2016-01-01,1.17
2016-02-01,0.91
2016-03-01,1.08
2016-04-01,1.01
2016-05-01,1.06
2016-06-01,0.96
2016-07-01,0.94
2016-08-01,1.04
2016-09-01,1.08
