"Date","VASLIND"
1982-01-01,-0.31
1982-02-01,0.35
1982-03-01,1.24
1982-04-01,1.19
1982-05-01,1.12
1982-06-01,1.06
1982-07-01,0.76
1982-08-01,0.55
1982-09-01,0.88
1982-10-01,0.95
1982-11-01,1.53
1982-12-01,1.92
1983-01-01,2.76
1983-02-01,2.99
1983-03-01,3.48
1983-04-01,3.69
1983-05-01,3.44
1983-06-01,3.41
1983-07-01,3.47
1983-08-01,2.59
1983-09-01,3.01
1983-10-01,2.67
1983-11-01,2.83
1983-12-01,2.29
1984-01-01,3.12
1984-02-01,2.76
1984-03-01,1.86
1984-04-01,1.49
1984-05-01,1.52
1984-06-01,1.9
1984-07-01,1.86
1984-08-01,1.79
1984-09-01,2.29
1984-10-01,1.48
1984-11-01,1.37
1984-12-01,1.21
1985-01-01,1.62
1985-02-01,1.56
1985-03-01,1.62
1985-04-01,1.66
1985-05-01,2.06
1985-06-01,1.82
1985-07-01,1.28
1985-08-01,2.31
1985-09-01,2.93
1985-10-01,3
1985-11-01,2.76
1985-12-01,2.67
1986-01-01,2.33
1986-02-01,1.8
1986-03-01,1.75
1986-04-01,1.72
1986-05-01,1.75
1986-06-01,1.6
1986-07-01,2.01
1986-08-01,1.92
1986-09-01,1.67
1986-10-01,2
1986-11-01,1.96
1986-12-01,2.11
1987-01-01,2.17
1987-02-01,1.92
1987-03-01,2.24
1987-04-01,2.32
1987-05-01,2.49
1987-06-01,2.21
1987-07-01,2.86
1987-08-01,2.41
1987-09-01,2.05
1987-10-01,1.64
1987-11-01,1.57
1987-12-01,1.81
1988-01-01,1.72
1988-02-01,1.67
1988-03-01,1.51
1988-04-01,1.09
1988-05-01,1.31
1988-06-01,1.56
1988-07-01,1.78
1988-08-01,1.53
1988-09-01,1.54
1988-10-01,1.97
1988-11-01,1.68
1988-12-01,1.93
1989-01-01,2.32
1989-02-01,1.88
1989-03-01,1.28
1989-04-01,1.45
1989-05-01,1.39
1989-06-01,0.96
1989-07-01,0.99
1989-08-01,0.72
1989-09-01,1
1989-10-01,1.4
1989-11-01,1.42
1989-12-01,1.42
1990-01-01,1.53
1990-02-01,1.74
1990-03-01,1.42
1990-04-01,0.52
1990-05-01,0.42
1990-06-01,0.1
1990-07-01,-0.25
1990-08-01,-0.21
1990-09-01,-0.53
1990-10-01,-0.73
1990-11-01,-0.34
1990-12-01,-0.19
1991-01-01,-0.29
1991-02-01,-0.17
1991-03-01,0.26
1991-04-01,0.89
1991-05-01,1.22
1991-06-01,1.88
1991-07-01,1.62
1991-08-01,1.67
1991-09-01,1.25
1991-10-01,0.9
1991-11-01,0.75
1991-12-01,0.56
1992-01-01,0.5
1992-02-01,1.33
1992-03-01,1.32
1992-04-01,1.8
1992-05-01,1.93
1992-06-01,1.95
1992-07-01,2.22
1992-08-01,2.11
1992-09-01,1.94
1992-10-01,2.17
1992-11-01,2.32
1992-12-01,2.62
1993-01-01,2.63
1993-02-01,2.56
1993-03-01,1.81
1993-04-01,1.44
1993-05-01,2.01
1993-06-01,1.83
1993-07-01,2.15
1993-08-01,1.9
1993-09-01,1.97
1993-10-01,1.88
1993-11-01,1.9
1993-12-01,1.66
1994-01-01,1
1994-02-01,1.18
1994-03-01,1.61
1994-04-01,1.74
1994-05-01,1.94
1994-06-01,2.3
1994-07-01,2.3
1994-08-01,1.91
1994-09-01,1.92
1994-10-01,2
1994-11-01,1.96
1994-12-01,1.96
1995-01-01,1.7
1995-02-01,1.17
1995-03-01,1.32
1995-04-01,1.1
1995-05-01,0.65
1995-06-01,0.63
1995-07-01,0.99
1995-08-01,1.25
1995-09-01,1.26
1995-10-01,1.42
1995-11-01,1.3
1995-12-01,1.45
1996-01-01,1.14
1996-02-01,1.64
1996-03-01,1.71
1996-04-01,1.95
