"Date","CROASMIDTIER"
2015-06-01,361.589251020617
2015-07-01,386.876042046901
2015-08-01,404.5170195832
2015-09-01,414.190847349161
2015-10-01,433.302897720868
2015-11-01,421.921483172606
2015-12-01,438.770354188488
2016-01-01,506.669592244664
2016-02-01,549.841492606091
2016-03-01,451.081078918971
2016-04-01,391.926571808868
2016-05-01,392.266680446799
2016-06-01,402.620864853724
2016-07-01,306.997162577869
2016-08-01,284.688996292231
2016-09-01,266.774907633169
2016-10-01,297.615979592272
2016-11-01,316.717573423933
2016-12-01,286.859998455787
2017-01-01,262.758811834779
2017-02-01,262.188093066895
2017-03-01,255.757430321643
2017-04-01,213.46023079705
2017-05-01,201.057777904754
2017-06-01,191.089124487038
2017-07-01,165.879661765543
2017-08-01,200.397048774816
2017-09-01,209.018984195466
2017-10-01,194.059557475355
2017-11-01,187.663107915455
2017-12-01,156.774327158276
2018-01-01,161.485898380542
2018-02-01,163.716454134607
2018-03-01,176.466672380664
2018-04-01,181.272102562129
2018-05-01,180.420132455843
2018-06-01,189.103441968219
2018-07-01,187.496675717569
2018-08-01,177.343477354904
2018-09-01,183.073193189983
2018-10-01,202.213430956984
2018-11-01,222.868875628299
2018-12-01,252.800120330237
2019-01-01,220.129749079451
2019-02-01,213.197896446029
2019-03-01,211.815676203027
2019-04-01,209.82567329818
2019-05-01,203.580775268486
2019-06-01,214.491977363472
2019-07-01,205.941378742376
2019-08-01,215.511616089121
2019-09-01,211.103730701447
2019-10-01,214.320106489896
2019-11-01,212.993454562981
2019-12-01,204.570475385209
2020-01-01,168.860475070283
2020-02-01,192.799810891931
2020-03-01,1393.19866552028
2020-04-01,1110.48282551137
2020-05-01,596.912595456905
2020-06-01,451.51712842072
2020-07-01,499.35148112931
2020-08-01,296.975453228442
2020-09-01,347.598785810464
2020-10-01,375.718415400865
2020-11-01,369.561613519534
2020-12-01,344.567766708591
2021-01-01,322.581948756744
2021-02-01,314.502665207192
2021-03-01,335.025196787326
2021-04-01,309.290910707601
2021-05-01,301.821693810044
2021-06-01,287.560696833445
2021-07-01,293.296858731375
2021-08-01,296.334125118305
2021-09-01,292.148374673868
2021-10-01,294.104895307056
2021-11-01,324.308697025558
2021-12-01,333.873646739093
2022-01-01,335.244126103466
2022-02-01,384.27675209759
2022-03-01,423.626631347722
2022-04-01,394.044839122921
2022-05-01,486.542437913234
2022-06-01,540.300356625215
2022-07-01,494.483763936922
2022-08-01,469.913512198507
2022-09-01,539.333817200844
2022-10-01,549.096347269911
2022-11-01,480.856003024418
2022-12-01,447.043470541096
2023-01-01,416.267237879262
2023-02-01,413.703989451427
2023-03-01,443.715656176679
2023-04-01,408.411383081912
2023-05-01,397.575369224369
2023-06-01,378.062644430213
2023-07-01,339.5649380633
2023-08-01,380.710520290039
2023-09-01,368.590716791318
2023-10-01,372.665996933354
2023-11-01,362.109960073781
