"Date","MSWP4"
2000-07-01,7.15
2000-08-01,7
2000-09-01,6.83
2000-10-01,6.7
2000-11-01,6.66
2000-12-01,6.11
2001-01-01,5.66
2001-02-01,5.57
2001-03-01,5.33
2001-04-01,5.33
2001-05-01,5.45
2001-06-01,5.37
2001-07-01,5.36
2001-08-01,5.06
2001-09-01,4.56
2001-10-01,4.21
2001-11-01,4.27
2001-12-01,4.8
2002-01-01,4.66
2002-02-01,4.54
2002-03-01,4.98
2002-04-01,4.85
2002-05-01,4.65
2002-06-01,4.36
2002-07-01,3.99
2002-08-01,3.52
2002-09-01,3.2
2002-10-01,3.2
2002-11-01,3.2
2002-12-01,3.14
2003-01-01,3.07
2003-02-01,2.92
2003-03-01,2.8
2003-04-01,2.9
2003-05-01,2.47
2003-06-01,2.19
2003-07-01,2.73
2003-08-01,3.38
2003-09-01,3.18
2003-10-01,3.19
2003-11-01,3.31
2003-12-01,3.29
2004-01-01,3.11
2004-02-01,3.09
2004-03-01,2.81
2004-04-01,3.43
2004-05-01,3.98
2004-06-01,4.1
2004-07-01,3.88
2004-08-01,3.65
2004-09-01,3.54
2004-10-01,3.53
2004-11-01,3.73
2004-12-01,3.81
2005-01-01,3.95
2005-02-01,4.03
2005-03-01,4.45
2005-04-01,4.36
2005-05-01,4.22
2005-06-01,4.11
2005-07-01,4.36
2005-08-01,4.52
2005-09-01,4.4
2005-10-01,4.75
2005-11-01,4.91
2005-12-01,4.89
2006-01-01,4.81
2006-02-01,5.05
2006-03-01,5.18
2006-04-01,5.35
2006-05-01,5.44
2006-06-01,5.57
2006-07-01,5.58
2006-08-01,5.31
2006-09-01,5.13
2006-10-01,5.15
2006-11-01,5.01
2006-12-01,4.93
2007-01-01,5.15
2007-02-01,5.14
2007-03-01,4.92
2007-04-01,5.02
2007-05-01,5.12
2007-06-01,5.5
2007-07-01,5.42
2007-08-01,5.06
2007-09-01,4.79
2007-10-01,4.76
2007-11-01,4.38
2007-12-01,4.18
2008-01-01,3.49
2008-02-01,3.35
2008-03-01,3.13
2008-04-01,3.45
2008-05-01,3.76
2008-06-01,4.23
2008-07-01,4.08
2008-08-01,3.97
2008-09-01,3.73
2008-10-01,3.58
2008-11-01,3.03
2008-12-01,2.19
2009-01-01,1.99
2009-02-01,2.28
2009-03-01,2.23
2009-04-01,2.17
2009-05-01,2.27
2009-06-01,2.77
2009-07-01,2.52
2009-08-01,2.63
2009-09-01,2.37
2009-10-01,2.34
2009-11-01,2.19
2009-12-01,2.3
2010-01-01,2.34
2010-02-01,2.26
2010-03-01,2.24
2010-04-01,2.32
2010-05-01,2.08
2010-06-01,1.93
2010-07-01,1.63
2010-08-01,1.34
2010-09-01,1.3
2010-10-01,1.09
2010-11-01,1.24
2010-12-01,1.71
2011-01-01,1.78
2011-02-01,2.03
2011-03-01,1.89
2011-04-01,1.93
2011-05-01,1.64
2011-06-01,1.44
2011-07-01,1.42
2011-08-01,0.97
2011-09-01,0.91
2011-10-01,1.09
2011-11-01,1.04
2011-12-01,1.05
2012-01-01,0.92
2012-02-01,0.87
2012-03-01,0.99
2012-04-01,0.93
2012-05-01,0.88
2012-06-01,0.8
2012-07-01,0.67
2012-08-01,0.7
2012-09-01,0.61
2012-10-01,0.63
2012-11-01,0.6
2012-12-01,0.61
2013-01-01,0.7
2013-02-01,0.75
2013-03-01,0.73
2013-04-01,0.65
2013-05-01,0.74
2013-06-01,1.06
2013-07-01,1.19
2013-08-01,1.28
2013-09-01,1.35
2013-10-01,1.12
2013-11-01,1.06
2013-12-01,1.2
2014-01-01,1.32
2014-02-01,1.22
2014-03-01,1.34
2014-04-01,1.42
2014-05-01,1.33
2014-06-01,1.42
2014-07-01,1.5
2014-08-01,1.49
2014-09-01,1.63
2014-10-01,1.45
2014-11-01,1.49
2014-12-01,1.54
2015-01-01,1.34
2015-02-01,1.45
2015-03-01,1.49
2015-04-01,1.33
2015-05-01,1.46
2015-06-01,1.58
2015-07-01,1.53
2015-08-01,1.45
2015-09-01,1.34
2015-10-01,1.21
2015-11-01,1.43
2015-12-01,1.51
2016-01-01,1.32
2016-02-01,1.04
2016-03-01,1.2
2016-04-01,1.12
2016-05-01,1.16
2016-06-01,1.05
2016-07-01,1.01
2016-08-01,1.09
2016-09-01,1.13
