"Date","NDR24MCD"
2021-04-01,0.19
2021-05-01,0.17
2021-06-01,0.18
2021-07-01,0.17
2021-08-01,0.17
2021-09-01,0.17
2021-10-01,0.17
2021-11-01,0.17
2021-12-01,0.17
2022-01-01,0.17
2022-02-01,0.18
2022-03-01,0.18
2022-04-01,0.19
2022-05-01,0.22
2022-06-01,0.27
2022-07-01,0.43
2022-08-01,0.51
2022-09-01,0.64
2022-10-01,0.77
2022-11-01,0.91
2022-12-01,1.06
2023-01-01,1.21
2023-02-01,1.28
2023-03-01,1.41
2023-04-01,1.41
2023-05-01,1.43
2023-06-01,1.45
2023-07-01,1.47
2023-08-01,1.47
2023-09-01,1.51
2023-10-01,1.5
2023-11-01,1.5
