"Date","NDR6MCD"
2021-04-01,0.1
2021-05-01,0.09
2021-06-01,0.09
2021-07-01,0.09
2021-08-01,0.09
2021-09-01,0.09
2021-10-01,0.09
2021-11-01,0.09
2021-12-01,0.09
2022-01-01,0.09
2022-02-01,0.09
2022-03-01,0.09
2022-04-01,0.09
2022-05-01,0.1
2022-06-01,0.12
2022-07-01,0.22
2022-08-01,0.27
2022-09-01,0.34
2022-10-01,0.42
2022-11-01,0.52
2022-12-01,0.65
2023-01-01,0.81
2023-02-01,0.89
2023-03-01,0.97
2023-04-01,0.97
2023-05-01,1.03
2023-06-01,1.19
2023-07-01,1.3
2023-08-01,1.3
2023-09-01,1.36
2023-10-01,1.39
2023-11-01,1.39
