"Date","NDR12MCD"
2021-04-01,0.15
2021-05-01,0.14
2021-06-01,0.14
2021-07-01,0.14
2021-08-01,0.14
2021-09-01,0.14
2021-10-01,0.14
2021-11-01,0.14
2021-12-01,0.14
2022-01-01,0.13
2022-02-01,0.14
2022-03-01,0.14
2022-04-01,0.15
2022-05-01,0.17
2022-06-01,0.21
2022-07-01,0.31
2022-08-01,0.46
2022-09-01,0.6
2022-10-01,0.71
2022-11-01,0.9
2022-12-01,1.07
2023-01-01,1.28
2023-02-01,1.36
2023-03-01,1.49
2023-04-01,1.49
2023-05-01,1.54
2023-06-01,1.59
2023-07-01,1.72
2023-08-01,1.72
2023-09-01,1.76
2023-10-01,1.79
2023-11-01,1.79
