"Date","MED1"
1971-01-01,5.66
1971-02-01,5.19
1971-03-01,4.87
1971-04-01,5.56
1971-05-01,6.99
1971-06-01,7
1971-07-01,6.16
1971-08-01,8.7
1971-09-01,8.51
1971-10-01,5.85
1971-11-01,5.48
1971-12-01,6.68
1972-01-01,5.02
1972-02-01,4.46
1972-03-01,5.07
1972-04-01,4.72
1972-05-01,4.26
1972-06-01,4.83
1972-07-01,5.35
1972-08-01,5.15
1972-09-01,5.15
1972-10-01,5.06
1972-11-01,5
1972-12-01,6.05
1973-01-01,5.99
1973-02-01,7.73
1973-03-01,8.79
1973-04-01,8
1973-05-01,8.2
1973-06-01,8.7
1973-07-01,10.3
1973-08-01,11.2
1973-09-01,11.16
1973-10-01,10.07
1973-11-01,9.85
1973-12-01,10.81
1974-01-01,9.37
1974-02-01,8.49
1974-03-01,9.19
1974-04-01,10.41
1974-05-01,11.58
1974-06-01,12.08
1974-07-01,13.35
1974-08-01,12.57
1974-09-01,11.61
1974-10-01,10.34
1974-11-01,9.68
1974-12-01,10.24
1975-01-01,7.97
1975-02-01,6.67
1975-03-01,6.21
1975-04-01,6.07
1975-05-01,5.49
1975-06-01,5.72
1975-07-01,6.5
1975-08-01,6.46
1975-09-01,6.76
1975-10-01,6.36
1975-11-01,5.89
1975-12-01,5.98
1976-01-01,5.28
1976-02-01,5.11
1976-03-01,5.2
1976-04-01,5.13
1976-05-01,5.5
1976-06-01,5.72
1976-07-01,5.52
1976-08-01,5.35
1976-09-01,5.37
1976-10-01,5.15
1976-11-01,4.93
1976-12-01,4.85
1977-01-01,4.87
1977-02-01,4.78
1977-03-01,4.86
1977-04-01,4.97
1977-05-01,5.47
1977-06-01,5.52
1977-07-01,5.57
1977-08-01,6.01
1977-09-01,6.38
1977-10-01,6.72
1977-11-01,6.71
1977-12-01,6.99
1978-01-01,7.05
1978-02-01,6.94
1978-03-01,7.03
1978-04-01,7.14
1978-05-01,7.57
1978-06-01,7.92
1978-07-01,8.14
1978-08-01,8.2
1978-09-01,8.82
1978-10-01,9.4
1978-11-01,10.49
1978-12-01,11
1979-01-01,10.59
1979-02-01,10.44
1979-03-01,10.39
1979-04-01,10.48
1979-05-01,10.47
1979-06-01,10.45
1979-07-01,10.75
1979-08-01,11.35
1979-09-01,12.13
1979-10-01,14.27
1979-11-01,14.32
1979-12-01,14.34
1980-01-01,14.25
1980-02-01,14.82
1980-03-01,17.98
1980-04-01,17.74
1980-05-01,10.7
1980-06-01,9.28
1980-07-01,9.12
1980-08-01,10.07
1980-09-01,11.36
1980-10-01,13.44
1980-11-01,16.24
1980-12-01,20.77
1981-01-01,19.34
1981-02-01,17.02
1981-03-01,15.03
1981-04-01,15.94
1981-05-01,18.97
1981-06-01,18.42
1981-07-01,18.98
1981-08-01,18.63
1981-09-01,16.86
1981-10-01,15.53
1981-11-01,13.06
1981-12-01,12.9
1982-01-01,13.68
1982-02-01,15.52
1982-03-01,14.8
1982-04-01,15.15
1982-05-01,14.73
1982-06-01,14.97
1982-07-01,13.67
1982-08-01,10.77
1982-09-01,11.18
1982-10-01,10.11
1982-11-01,9.47
1982-12-01,9.29
1983-01-01,8.89
1983-02-01,8.89
1983-03-01,9.17
1983-04-01,9.1
1983-05-01,8.86
1983-06-01,9.47
1983-07-01,9.66
1983-08-01,9.83
1983-09-01,9.65
