"Date","CP1M"
1971-04-01,4.49
1971-05-01,4.94
1971-06-01,5.27
1971-07-01,5.59
1971-08-01,5.61
1971-09-01,5.57
1971-10-01,5.27
1971-11-01,4.73
1971-12-01,4.47
1972-01-01,3.84
1972-02-01,3.41
1972-03-01,3.74
1972-04-01,4.35
1972-05-01,4.2
1972-06-01,4.42
1972-07-01,4.58
1972-08-01,4.55
1972-09-01,4.87
1972-10-01,4.98
1972-11-01,4.93
1972-12-01,5.27
1973-01-01,5.63
1973-02-01,6.02
1973-03-01,6.62
1973-04-01,6.9
1973-05-01,7.07
1973-06-01,7.9
1973-07-01,9.19
1973-08-01,10.15
1973-09-01,10.29
1973-10-01,9.42
1973-11-01,9.38
1973-12-01,9.79
1974-01-01,9.31
1974-02-01,8.36
1974-03-01,8.92
1974-04-01,10.11
1974-05-01,10.86
1974-06-01,11.16
1974-07-01,11.94
1974-08-01,11.79
1974-09-01,11.48
1974-10-01,9.73
1974-11-01,9.16
1974-12-01,9.47
1975-01-01,7.45
1975-02-01,6.37
1975-03-01,6.03
1975-04-01,5.93
1975-05-01,5.48
1975-06-01,5.46
1975-07-01,6.15
1975-08-01,6.37
1975-09-01,6.53
1975-10-01,6.05
1975-11-01,5.43
1975-12-01,5.51
1976-01-01,4.76
1976-02-01,4.86
1976-03-01,5.05
1976-04-01,4.81
1976-05-01,5.18
1976-06-01,5.58
1976-07-01,5.29
1976-08-01,5.11
1976-09-01,5.09
1976-10-01,4.9
1976-11-01,4.79
1976-12-01,4.51
1977-01-01,4.62
1977-02-01,4.6
1977-03-01,4.64
1977-04-01,4.63
1977-05-01,5.1
1977-06-01,5.29
1977-07-01,5.26
1977-08-01,5.65
1977-09-01,6
1977-10-01,6.39
1977-11-01,6.37
1977-12-01,6.51
1978-01-01,6.59
1978-02-01,6.56
1978-03-01,6.52
1978-04-01,6.64
1978-05-01,6.89
1978-06-01,7.48
1978-07-01,7.7
1978-08-01,7.66
1978-09-01,8.29
1978-10-01,8.82
1978-11-01,9.84
1978-12-01,10.14
1979-01-01,9.95
1979-02-01,9.75
1979-03-01,9.74
1979-04-01,9.72
1979-05-01,9.86
1979-06-01,9.77
1979-07-01,9.88
1979-08-01,10.44
1979-09-01,11.52
1979-10-01,13.06
1979-11-01,13.34
1979-12-01,13.35
1980-01-01,13.07
1980-02-01,13.62
1980-03-01,16.55
1980-04-01,16.1
1980-05-01,9.6
1980-06-01,8.56
1980-07-01,8.53
1980-08-01,9.48
1980-09-01,10.82
1980-10-01,12.59
1980-11-01,15.23
1980-12-01,18.95
1981-01-01,17.73
1981-02-01,15.81
1981-03-01,14.15
1981-04-01,14.79
1981-05-01,17.91
