"Date","MVGFD027MNFRBDAL"
1942-01-01,63
1942-02-01,65.2
1942-03-01,65.6
1942-04-01,68.3
1942-05-01,71.7
1942-06-01,75.7
1942-07-01,80.2
1942-08-01,84.7
1942-09-01,89.5
1942-10-01,95.9
1942-11-01,98.9
1942-12-01,110.9
1943-01-01,114.1
1943-02-01,117
1943-03-01,118.4
1943-04-01,133.2
1943-05-01,139.4
1943-06-01,140.4
1943-07-01,145.1
1943-08-01,147.6
1943-09-01,161.8
1943-10-01,168.4
1943-11-01,169.5
1943-12-01,169.2
1944-01-01,174.1
1944-02-01,186.6
1944-03-01,188.2
1944-04-01,188.4
1944-05-01,189.9
1944-06-01,204.5
1944-07-01,212.3
1944-08-01,213.6
1944-09-01,213
1944-10-01,213.6
1944-11-01,218.5
1944-12-01,234.2
1945-01-01,237.1
1945-02-01,238.9
1945-03-01,239.2
1945-04-01,240.8
1945-05-01,244.5
1945-06-01,265.4
1945-07-01,268
1945-08-01,268.8
1945-09-01,267.8
1945-10-01,268
1945-11-01,272
1945-12-01,285.4
1946-01-01,288.1
1946-02-01,289.4
1946-03-01,286.2
1946-04-01,281.8
1946-05-01,280.8
1946-06-01,277.9
1946-07-01,275.9
1946-08-01,274.5
1946-09-01,271.6
1946-10-01,270.3
1946-11-01,268.3
1946-12-01,266.1
1947-01-01,267
1947-02-01,268.8
1947-03-01,266.7
1947-04-01,265
1947-05-01,265.7
1947-06-01,265.2
1947-07-01,266.3
1947-08-01,267.4
1947-09-01,266
1947-10-01,264.4
1947-11-01,262.4
1947-12-01,259.6
1948-01-01,259.2
1948-02-01,257.5
1948-03-01,256
1948-04-01,255.4
1948-05-01,256.4
1948-06-01,255.5
1948-07-01,256.3
1948-08-01,255.8
1948-09-01,255.3
1948-10-01,254.9
1948-11-01,255.2
1948-12-01,256
1949-01-01,256.1
1949-02-01,256.4
1949-03-01,255.5
1949-04-01,255.4
1949-05-01,255.9
1949-06-01,257.9
1949-07-01,259.5
1949-08-01,262.2
1949-09-01,263
1949-10-01,263
1949-11-01,263.4
1949-12-01,263.9
1950-01-01,262.8
1950-02-01,261.9
1950-03-01,260.7
1950-04-01,260.2
1950-05-01,260.8
1950-06-01,261.2
1950-07-01,261.3
1950-08-01,261.8
1950-09-01,260.3
1950-10-01,259.5
1950-11-01,259.5
1950-12-01,259.1
1951-01-01,258.7
1951-02-01,258.3
1951-03-01,255.2
1951-04-01,254.1
1951-05-01,253.8
1951-06-01,254
1951-07-01,255.2
1951-08-01,257
1951-09-01,256.8
1951-10-01,257.6
1951-11-01,258.4
1951-12-01,255.5
1952-01-01,258.6
1952-02-01,259.1
1952-03-01,257.4
1952-04-01,258.8
1952-05-01,260.3
1952-06-01,259.1
1952-07-01,262.4
1952-08-01,261.8
1952-09-01,260.5
1952-10-01,263.3
1952-11-01,265.6
1952-12-01,265.1
1953-01-01,264.8
1953-02-01,264.2
1953-03-01,260.6
1953-04-01,259
1953-05-01,259.4
1953-06-01,260.7
1953-07-01,267.8
1953-08-01,268.3
1953-09-01,270.7
1953-10-01,271.9
1953-11-01,273.3
1953-12-01,275
1954-01-01,275.8
1954-02-01,277.1
1954-03-01,273
1954-04-01,274.9
1954-05-01,275.4
1954-06-01,274.6
1954-07-01,274.4
1954-08-01,277.7
1954-09-01,277
1954-10-01,280.5
1954-11-01,279.9
1954-12-01,279.5
1955-01-01,277.6
1955-02-01,276
1955-03-01,272
1955-04-01,274
1955-05-01,275.4
1955-06-01,271.1
1955-07-01,272.5
1955-08-01,273.2
1955-09-01,273.5
1955-10-01,276.7
1955-11-01,275.8
1955-12-01,276.1
1956-01-01,276.8
1956-02-01,276.6
1956-03-01,270.4
1956-04-01,268.8
1956-05-01,272
1956-06-01,268.1
1956-07-01,265.5
1956-08-01,266.6
1956-09-01,265.8
1956-10-01,266.4
1956-11-01,267.1
1956-12-01,265.7
1957-01-01,268.6
1957-02-01,267.9
1957-03-01,267
1957-04-01,264.6
1957-05-01,264.7
1957-06-01,258
1957-07-01,260.3
1957-08-01,262.1
1957-09-01,262.3
1957-10-01,262.4
1957-11-01,268.9
1957-12-01,271.6
1958-01-01,271.9
1958-02-01,273.8
1958-03-01,272.5
1958-04-01,275.8
1958-05-01,276.9
1958-06-01,275.2
1958-07-01,272.3
1958-08-01,268.5
1958-09-01,265.9
1958-10-01,269.5
1958-11-01,273.6
1958-12-01,271.5
1959-01-01,273.7
1959-02-01,274.3
1959-03-01,270
1959-04-01,271.9
1959-05-01,272.3
1959-06-01,269.9
1959-07-01,274
1959-08-01,273.8
1959-09-01,271.7
1959-10-01,276.7
1959-11-01,274.9
1959-12-01,273.5
1960-01-01,275.6
1960-02-01,276.1
1960-03-01,276.7
1960-04-01,277
1960-05-01,278.4
1960-06-01,278.1
1960-07-01,283.6
1960-08-01,283.4
1960-09-01,283.1
1960-10-01,284.7
1960-11-01,283
1960-12-01,285.9
1961-01-01,284.2
1961-02-01,285.7
1961-03-01,282.6
1961-04-01,283.7
1961-05-01,285.2
1961-06-01,282.8
1961-07-01,286.1
1961-08-01,286.8
1961-09-01,287.6
1961-10-01,289.8
1961-11-01,290.5
1961-12-01,289.1
1962-01-01,289.1
1962-02-01,290.9
1962-03-01,291.5
1962-04-01,293
1962-05-01,295
1962-06-01,292.6
1962-07-01,291.8
1962-08-01,297.3
1962-09-01,295.4
1962-10-01,298.5
1962-11-01,301.8
1962-12-01,300
1963-01-01,299.7
1963-02-01,300.7
1963-03-01,298.9
1963-04-01,298.8
1963-05-01,300.5
1963-06-01,301
1963-07-01,299.4
1963-08-01,300.8
1963-09-01,300.7
1963-10-01,299.7
1963-11-01,301.6
1963-12-01,302.2
1964-01-01,301.7
1964-02-01,303
1964-03-01,301.7
1964-04-01,300.2
1964-05-01,304.8
1964-06-01,305.4
1964-07-01,304.9
1964-08-01,307.4
1964-09-01,308.9
1964-10-01,309
1964-11-01,311.3
1964-12-01,311.1
1965-01-01,311.5
1965-02-01,313
1965-03-01,311.1
1965-04-01,310.1
1965-05-01,312.6
1965-06-01,311
