"Date","TP10J19"
2009-01-01,1.845
2009-02-01,1.747
2009-03-01,1.704
2009-04-01,1.543
2009-05-01,1.693
2009-06-01,1.835
2009-07-01,1.814
2009-08-01,1.775
2009-09-01,1.637
2009-10-01,1.465
2009-11-01,1.237
2009-12-01,1.297
2010-01-01,1.277
2010-02-01,1.316
2010-03-01,1.396
2010-04-01,1.368
2010-05-01,1.164
2010-06-01,1.127
2010-07-01,1.08
2010-08-01,0.84
2010-09-01,0.718
2010-10-01,0.323
2010-11-01,0.413
2010-12-01,0.782
2011-01-01,0.72
2011-02-01,0.837
2011-03-01,0.545
2011-04-01,0.439
2011-05-01,0.313
2011-06-01,0.266
2011-07-01,0.11
2011-08-01,-0.332
2011-09-01,-0.314
2011-10-01,-0.165
2011-11-01,-0.444
2011-12-01,-0.511
2012-01-01,-0.622
2012-02-01,-0.841
2012-03-01,-0.762
2012-04-01,-0.843
2012-05-01,-0.928
2012-06-01,-0.897
2012-07-01,-0.978
2012-08-01,-1.011
2012-09-01,-1.269
2012-10-01,-1.321
2012-11-01,-1.297
2012-12-01,-1.334
2013-01-01,-1.314
2013-02-01,-1.411
2013-03-01,-1.476
2013-04-01,-1.454
2013-05-01,-1.11
2013-06-01,-0.491
2013-07-01,-0.351
2013-08-01,-0.277
2013-09-01,-0.202
2013-10-01,-0.493
2013-11-01,-0.497
2013-12-01,-0.279
2014-01-01,-0.362
2014-02-01,-0.538
2014-03-01,-0.454
2014-04-01,-0.382
2014-05-01,-0.545
2014-06-01,-0.521
2014-07-01,-0.526
2014-08-01,-0.465
2014-09-01,-0.165
2014-10-01,-0.218
2014-11-01,-0.179
2014-12-01,0.123
2015-01-01,-0.085
2015-02-01,-0.275
2015-03-01,-0.337
2015-04-01,-0.64
2015-05-01,-0.458
2015-06-01,-0.327
2015-07-01,-0.219
2015-08-01,0.053
2015-09-01,0.133
2015-10-01,-0.009
2015-11-01,0.137
2015-12-01,0.194
2016-01-01,0.049
2016-02-01,-0.156
2016-03-01,-0.448
2016-04-01,-0.637
2016-05-01,-0.632
2016-06-01,-0.656
2016-07-01,-0.63
2016-08-01,-0.436
2016-09-01,-0.492
2016-10-01,-0.697
2016-11-01,-0.553
2016-12-01,-0.526
2017-01-01,-0.76
2017-02-01,-0.957
2017-03-01,-0.8
2017-04-01,-0.657
2017-05-01,-0.389
2017-06-01,-0.168
2017-07-01,0.003
2017-08-01,-0.078
2017-09-01,-0.292
2017-10-01,-0.241
2017-11-01,-0.032
2017-12-01,0.217
2018-01-01,-0.072
2018-02-01,-0.245
2018-03-01,-0.285
2018-04-01,0.015
2018-05-01,0.083
2018-06-01,0.535
2018-07-01,1.058
2018-08-01,1.551
2018-09-01,1.434
2018-10-01,1.44
2018-11-01,2.003
2018-12-01,3.319
