"Date","TENEXPCHAINFRISPRE"
1982-01-01,0.4232992
1982-02-01,0.3466207
1982-03-01,0.3298441
1982-04-01,0.4040005
1982-05-01,0.328358
1982-06-01,0.3017158
1982-07-01,0.3655436
1982-08-01,0.2800865
1982-09-01,0.180274
1982-10-01,0.2378697
1982-11-01,0.3106571
1982-12-01,0.3562076
1983-01-01,0.37095
1983-02-01,0.409499
1983-03-01,0.4053341
1983-04-01,0.4081102
1983-05-01,0.3943521
1983-06-01,0.4180947
1983-07-01,0.4354794
1983-08-01,0.52705
1983-09-01,0.5041145
1983-10-01,0.4691074
1983-11-01,0.4821815
1983-12-01,0.4768328
1984-01-01,0.4680037
1984-02-01,0.4130959
1984-03-01,0.4805385
1984-04-01,0.5196546
1984-05-01,0.5285705
1984-06-01,0.5789113
1984-07-01,0.5784885
1984-08-01,0.4827603
1984-09-01,0.5009028
1984-10-01,0.4651115
1984-11-01,0.2682071
1984-12-01,0.3095733
1985-01-01,0.3477185
1985-02-01,0.352354
1985-03-01,0.4271116
1985-04-01,0.425375
1985-05-01,0.3327895
1985-06-01,0.3636911
1985-07-01,0.4039801
1985-08-01,0.4413298
1985-09-01,0.4359783
1985-10-01,0.4366386
1985-11-01,0.4221665
1985-12-01,0.4062858
1986-01-01,0.2625895
1986-02-01,0.2931736
1986-03-01,0.2738488
1986-04-01,0.277201
1986-05-01,0.3093187
1986-06-01,0.463871
1986-07-01,0.4198777
1986-08-01,0.409531
1986-09-01,0.3942505
1986-10-01,0.4370162
1986-11-01,0.4283965
1986-12-01,0.4259676
1987-01-01,0.3950548
1987-02-01,0.4056393
1987-03-01,0.4345937
1987-04-01,0.4113311
1987-05-01,0.5180904
1987-06-01,0.5182284
1987-07-01,0.4632988
1987-08-01,0.5030676
1987-09-01,0.5205173
1987-10-01,0.5544365
1987-11-01,0.2793631
1987-12-01,0.334727
1988-01-01,0.3680157
1988-02-01,0.3866773
1988-03-01,0.3928376
1988-04-01,0.4332644
1988-05-01,0.460759
1988-06-01,0.4693093
1988-07-01,0.4530967
1988-08-01,0.4622338
1988-09-01,0.4869946
1988-10-01,0.4596157
1988-11-01,0.4323994
1988-12-01,0.4909862
1989-01-01,0.4871891
1989-02-01,0.4768804
1989-03-01,0.5039928
1989-04-01,0.4279872
1989-05-01,0.4163362
1989-06-01,0.375048
1989-07-01,0.3725232
1989-08-01,0.3467572
