"Date","IRLTCT01USM156N"
1960-01-01,4.37
1960-02-01,4.22
1960-03-01,4.08
1960-04-01,4.17
1960-05-01,4.16
1960-06-01,3.99
1960-07-01,3.86
1960-08-01,3.79
1960-09-01,3.82
1960-10-01,3.91
1960-11-01,3.93
1960-12-01,3.88
1961-01-01,3.89
1961-02-01,3.81
1961-03-01,3.78
1961-04-01,3.8
1961-05-01,3.73
1961-06-01,3.88
1961-07-01,3.9
1961-08-01,4
1961-09-01,4.02
1961-10-01,3.98
1961-11-01,3.98
1961-12-01,4.06
1962-01-01,4.08
1962-02-01,4.09
1962-03-01,4.01
1962-04-01,3.89
1962-05-01,3.88
1962-06-01,3.9
1962-07-01,4.02
1962-08-01,3.97
1962-09-01,3.94
1962-10-01,3.89
1962-11-01,3.87
1962-12-01,3.87
1963-01-01,3.88
1963-02-01,3.92
1963-03-01,3.93
1963-04-01,3.97
1963-05-01,3.97
1963-06-01,4
1963-07-01,4.01
1963-08-01,3.99
1963-09-01,4.04
1963-10-01,4.07
1963-11-01,4.1
1963-12-01,4.14
1964-01-01,4.15
1964-02-01,4.14
1964-03-01,4.18
1964-04-01,4.2
1964-05-01,4.16
1964-06-01,4.13
1964-07-01,4.13
1964-08-01,4.14
1964-09-01,4.16
1964-10-01,4.16
1964-11-01,4.12
1964-12-01,4.14
1965-01-01,4.14
1965-02-01,4.16
1965-03-01,4.15
1965-04-01,4.15
1965-05-01,4.14
1965-06-01,4.14
1965-07-01,4.15
1965-08-01,4.19
1965-09-01,4.25
1965-10-01,4.27
1965-11-01,4.34
1965-12-01,4.43
1966-01-01,4.43
1966-02-01,4.61
1966-03-01,4.63
1966-04-01,4.55
1966-05-01,4.57
1966-06-01,4.63
1966-07-01,4.74
1966-08-01,4.8
1966-09-01,4.79
1966-10-01,4.7
1966-11-01,4.74
1966-12-01,4.65
1967-01-01,4.4
1967-02-01,4.47
1967-03-01,4.45
1967-04-01,4.51
1967-05-01,4.76
1967-06-01,4.86
1967-07-01,4.86
1967-08-01,4.95
1967-09-01,4.99
1967-10-01,5.18
1967-11-01,5.44
1967-12-01,5.36
1968-01-01,5.18
1968-02-01,5.16
1968-03-01,5.39
1968-04-01,5.28
1968-05-01,5.4
1968-06-01,5.23
1968-07-01,5.09
1968-08-01,5.04
1968-09-01,5.09
1968-10-01,5.24
1968-11-01,5.36
1968-12-01,5.66
1969-01-01,5.74
1969-02-01,5.86
1969-03-01,6.05
1969-04-01,5.84
1969-05-01,5.85
1969-06-01,6.05
1969-07-01,6.07
1969-08-01,6.02
1969-09-01,6.32
1969-10-01,6.27
1969-11-01,6.52
1969-12-01,6.81
1970-01-01,6.86
1970-02-01,6.44
1970-03-01,6.39
1970-04-01,6.53
1970-05-01,6.94
1970-06-01,6.99
1970-07-01,6.57
1970-08-01,6.75
1970-09-01,6.63
1970-10-01,6.59
1970-11-01,6.24
1970-12-01,5.97
1971-01-01,5.92
1971-02-01,5.84
1971-03-01,5.71
1971-04-01,5.75
1971-05-01,5.96
1971-06-01,5.94
1971-07-01,5.91
1971-08-01,5.78
1971-09-01,5.56
1971-10-01,5.46
1971-11-01,5.48
1971-12-01,5.62
1972-01-01,5.62
1972-02-01,5.67
1972-03-01,5.66
1972-04-01,5.74
1972-05-01,5.64
1972-06-01,5.59
1972-07-01,5.59
1972-08-01,5.59
1972-09-01,5.7
1972-10-01,5.69
1972-11-01,5.51
1972-12-01,5.63
1973-01-01,5.96
1973-02-01,6.14
1973-03-01,6.2
1973-04-01,6.11
1973-05-01,6.25
1973-06-01,6.32
1973-07-01,6.53
1973-08-01,6.85
1973-09-01,6.41
1973-10-01,6.25
1973-11-01,6.3
1973-12-01,6.35
1974-01-01,6.56
1974-02-01,6.54
1974-03-01,6.81
1974-04-01,7.04
1974-05-01,7.09
1974-06-01,7.02
1974-07-01,7.18
1974-08-01,7.33
1974-09-01,7.3
1974-10-01,7.22
1974-11-01,6.93
1974-12-01,6.77
1975-01-01,6.68
1975-02-01,6.66
1975-03-01,6.77
1975-04-01,7.05
1975-05-01,7.01
1975-06-01,6.86
1975-07-01,6.89
1975-08-01,7.11
1975-09-01,7.28
1975-10-01,7.29
1975-11-01,7.21
1975-12-01,7.17
1976-01-01,6.93
1976-02-01,6.92
1976-03-01,6.88
1976-04-01,6.73
1976-05-01,7.01
1976-06-01,6.92
1976-07-01,6.85
1976-08-01,6.82
1976-09-01,6.7
1976-10-01,6.65
1976-11-01,6.62
1976-12-01,6.38
1977-01-01,6.68
1977-02-01,7.16
1977-03-01,7.2
1977-04-01,7.13
1977-05-01,7.17
1977-06-01,6.99
1977-07-01,6.98
1977-08-01,7.01
1977-09-01,6.94
1977-10-01,7.08
1977-11-01,7.16
1977-12-01,7.24
1978-01-01,7.51
1978-02-01,7.6
1978-03-01,7.63
1978-04-01,7.74
1978-05-01,7.87
1978-06-01,7.94
1978-07-01,8.1
1978-08-01,7.88
1978-09-01,7.82
1978-10-01,8.07
1978-11-01,8.16
1978-12-01,8.36
1979-01-01,8.43
1979-02-01,8.43
1979-03-01,8.45
1979-04-01,8.44
1979-05-01,8.55
1979-06-01,8.32
1979-07-01,8.35
1979-08-01,8.42
1979-09-01,8.68
1979-10-01,9.44
1979-11-01,9.8
1979-12-01,9.58
1980-01-01,10.03
1980-02-01,11.55
1980-03-01,11.87
1980-04-01,10.83
1980-05-01,9.82
1980-06-01,9.4
1980-07-01,9.83
1980-08-01,10.53
1980-09-01,10.94
1980-10-01,11.2
1980-11-01,11.83
1980-12-01,11.89
1981-01-01,11.65
1981-02-01,12.23
1981-03-01,12.15
1981-04-01,12.62
1981-05-01,12.96
1981-06-01,12.39
1981-07-01,13.37
1981-08-01,14.24
1981-09-01,14.68
1981-10-01,13.77
1981-11-01,12.23
1981-12-01,13.21
1982-01-01,13.38
1982-02-01,13.29
1982-03-01,13.13
1982-04-01,12.81
1982-05-01,12.81
1982-06-01,13.33
1982-07-01,12.78
1982-08-01,11.88
1982-09-01,11.18
1982-10-01,10.29
1982-11-01,10.48
1982-12-01,10.25
1983-01-01,10.72
1983-02-01,10.21
1983-03-01,10.4
1983-04-01,10.07
1983-05-01,10.63
1983-06-01,10.72
1983-07-01,11.47
1983-08-01,11.56
1983-09-01,11.08
1983-10-01,11.37
1983-11-01,11.22
1983-12-01,11.43
1984-01-01,11.28
1984-02-01,11.65
1984-03-01,12.05
1984-04-01,12.36
1984-05-01,13.29
1984-06-01,13.24
1984-07-01,12.43
1984-08-01,12.26
1984-09-01,11.94
1984-10-01,11.33
1984-11-01,11.28
1984-12-01,11.25
1985-01-01,10.92
1985-02-01,11.84
1985-03-01,11.61
1985-04-01,11.43
1985-05-01,10.49
1985-06-01,10.44
1985-07-01,10.75
1985-08-01,10.52
1985-09-01,10.62
1985-10-01,10.31
1985-11-01,9.89
1985-12-01,9.35
1986-01-01,9.44
1986-02-01,8.36
1986-03-01,7.58
1986-04-01,7.7
1986-05-01,8.38
1986-06-01,7.81
1986-07-01,7.95
1986-08-01,7.53
1986-09-01,8.06
1986-10-01,7.87
1986-11-01,7.71
1986-12-01,7.78
1987-01-01,7.68
1987-02-01,7.58
1987-03-01,7.85
1987-04-01,8.47
1987-05-01,8.67
1987-06-01,8.64
1987-07-01,8.92
1987-08-01,8.84
1987-09-01,8.81
1987-10-01,8.73
1987-11-01,8.74
1987-12-01,8.76
1988-01-01,8.41
1988-02-01,8.37
1988-03-01,8.79
1988-04-01,9.06
1988-05-01,9.32
1988-06-01,8.96
1988-07-01,9.25
1988-08-01,9.3
1988-09-01,9.08
1988-10-01,8.72
1988-11-01,9.18
1988-12-01,9.14
1989-01-01,8.97
1989-02-01,9.31
1989-03-01,9.26
1989-04-01,9.07
1989-05-01,8.72
1989-06-01,8.19
1989-07-01,7.99
1989-08-01,8.36
1989-09-01,8.41
1989-10-01,8.05
1989-11-01,8.02
1989-12-01,8.11
1990-01-01,8.62
1990-02-01,8.7
1990-03-01,8.81
1990-04-01,9.17
1990-05-01,8.75
1990-06-01,8.57
1990-07-01,8.53
1990-08-01,9.09
1990-09-01,9.02
1990-10-01,8.85
1990-11-01,8.46
1990-12-01,8.33
1991-01-01,8.27
1991-02-01,8.29
1991-03-01,8.32
1991-04-01,8.26
1991-05-01,8.33
1991-06-01,8.49
1991-07-01,8.4
1991-08-01,8.09
1991-09-01,7.81
1991-10-01,7.83
1991-11-01,7.83
1991-12-01,7.27
1992-01-01,7.7
1992-02-01,7.72
1992-03-01,7.92
1992-04-01,7.98
1992-05-01,7.76
1992-06-01,7.64
1992-07-01,7.25
1992-08-01,7.23
1992-09-01,7.09
1992-10-01,7.4
1992-11-01,7.46
1992-12-01,7.25
1993-01-01,6.99
1993-02-01,6.71
1993-03-01,6.74
1993-04-01,6.71
1993-05-01,6.76
1993-06-01,6.38
1993-07-01,6.31
1993-08-01,6
1993-09-01,6
1993-10-01,5.98
1993-11-01,6.32
1993-12-01,6.34
1994-01-01,6.14
1994-02-01,6.64
1994-03-01,7.15
1994-04-01,7.37
1994-05-01,7.5
1994-06-01,7.68
1994-07-01,7.4
1994-08-01,7.53
1994-09-01,7.93
1994-10-01,8.05
1994-11-01,8.07
1994-12-01,7.98
1995-01-01,7.78
1995-02-01,7.52
1995-03-01,7.51
1995-04-01,7.39
1995-05-01,6.71
1995-06-01,6.64
1995-07-01,6.86
1995-08-01,6.71
1995-09-01,6.59
1995-10-01,6.38
1995-11-01,6.19
1995-12-01,5.99
1996-01-01,6.03
1996-02-01,6.56
1996-03-01,6.81
1996-04-01,7.03
1996-05-01,7.15
1996-06-01,7.01
1996-07-01,7.06
1996-08-01,7.24
1996-09-01,7.02
1996-10-01,6.71
1996-11-01,6.44
1996-12-01,6.72
1997-01-01,6.85
1997-02-01,6.9
1997-03-01,7.21
1997-04-01,7.03
1997-05-01,6.97
1997-06-01,6.84
1997-07-01,6.34
1997-08-01,6.67
1997-09-01,6.45
1997-10-01,6.19
1997-11-01,6.12
1997-12-01,6.01
1998-01-01,5.87
1998-02-01,5.97
1998-03-01,6
1998-04-01,6.01
1998-05-01,5.88
1998-06-01,5.71
1998-07-01,5.79
1998-08-01,5.42
1998-09-01,5.13
1998-10-01,5.32
1998-11-01,5.27
1998-12-01,5.33
1999-01-01,5.29
1999-02-01,5.8
1999-03-01,5.87
1999-04-01,5.89
1999-05-01,6.1
1999-06-01,6.24
1999-07-01,6.34
1999-08-01,6.42
1999-09-01,6.4
1999-10-01,6.46
1999-11-01,6.57
1999-12-01,6.76
2000-01-01,6.67
2000-02-01,6.41
2000-03-01,6.14
2000-04-01,6.27
2000-05-01,6.36
2000-06-01,6.2
2000-07-01,6.08
2000-08-01,5.92
2000-09-01,6.09
2000-10-01,5.98
2000-11-01,5.75
2000-12-01,5.51
2001-01-01,5.62
2001-02-01,5.48
2001-03-01,5.57
2001-04-01,5.88
2001-05-01,5.91
2001-06-01,5.88
2001-07-01,5.58
2001-08-01,5.44
2001-09-01,5.41
2001-10-01,5
2001-11-01,5.49
2001-12-01,5.71
2002-01-01,5.63
2002-02-01,5.57
2002-03-01,6
2002-04-01,5.69
2002-05-01,5.71
2002-06-01,5.58
2002-07-01,5.32
2002-08-01,4.97
2002-09-01,4.63
2002-10-01,4.93
2002-11-01,5.07
2002-12-01,4.73
2003-01-01,4.81
2003-02-01,4.57
2003-03-01,4.71
2003-04-01,4.66
2003-05-01,4.19
2003-06-01,4.35
2003-07-01,5.27
2003-08-01,5.17
2003-09-01,4.73
2003-10-01,5.03
2003-11-01,5.03
2003-12-01,4.94
2004-01-01,4.83
2004-02-01,4.68
2004-03-01,4.57
2004-04-01,5.16
2004-05-01,5.25
2004-06-01,5.2
2004-07-01,5.09
2004-08-01,4.77
2004-09-01,4.73
2004-10-01,4.63
2004-11-01,4.89
2004-12-01,4.71
2005-01-01,4.52
2005-02-01,4.69
2005-03-01,4.8
2005-04-01,4.51
2005-05-01,4.31
2005-06-01,4.2
2005-07-01,4.49
2005-08-01,4.26
2005-09-01,4.57
2005-10-01,4.79
2005-11-01,4.76
2005-12-01,4.7
2006-01-01,4.6145
2006-02-01,4.718421053
2006-03-01,4.891304348
2006-04-01,5.187368421
2006-05-01,5.308636364
2006-06-01,5.269545455
2006-07-01,5.231
2006-08-01,5.049565217
