"Date","HQMCB30YR"
1984-01-01,9.99
1984-02-01,11.1
1984-03-01,11.48
1984-04-01,11.69
1984-05-01,12.51
1984-06-01,12.67
1984-07-01,12.59
1984-08-01,12.13
1984-09-01,12.42
1984-10-01,10.99
1984-11-01,10.83
1984-12-01,11.52
1985-01-01,11.22
1985-02-01,10.48
1985-03-01,10.76
1985-04-01,10.58
1985-05-01,10.47
1985-06-01,10.07
1985-07-01,10.87
1985-08-01,11.1
1985-09-01,11.49
1985-10-01,11.35
1985-11-01,10.89
1985-12-01,10.38
1986-01-01,9.6
1986-02-01,9.66
1986-03-01,8.87
1986-04-01,8.55
1986-05-01,9.24
1986-06-01,9.81
1986-07-01,9.55
1986-08-01,9.67
1986-09-01,9.81
1986-10-01,9.93
1986-11-01,9.7
1986-12-01,9.43
1987-01-01,9.28
1987-02-01,9.25
1987-03-01,9.22
1987-04-01,9.99
1987-05-01,10.64
1987-06-01,10.3
1987-07-01,10.16
1987-08-01,10.27
1987-09-01,10.56
1987-10-01,10.6
1987-11-01,10.01
1987-12-01,10.12
1988-01-01,9.62
1988-02-01,9.38
1988-03-01,9.59
1988-04-01,10.1
1988-05-01,10.48
1988-06-01,10.19
1988-07-01,10.34
1988-08-01,10.28
1988-09-01,10.05
1988-10-01,9.89
1988-11-01,9.85
1988-12-01,9.81
1989-01-01,9.84
1989-02-01,9.92
1989-03-01,9.93
1989-04-01,9.75
1989-05-01,9.63
1989-06-01,9.24
1989-07-01,9.2
1989-08-01,9.19
1989-09-01,9.2
1989-10-01,9.09
1989-11-01,8.99
1989-12-01,8.95
1990-01-01,9.07
1990-02-01,9.32
1990-03-01,9.49
1990-04-01,9.62
1990-05-01,9.81
1990-06-01,9.63
1990-07-01,9.67
1990-08-01,10.28
1990-09-01,10.48
1990-10-01,10.55
1990-11-01,10.28
1990-12-01,9.97
1991-01-01,9.92
1991-02-01,9.59
1991-03-01,9.84
1991-04-01,9.66
1991-05-01,9.78
1991-06-01,9.99
1991-07-01,9.95
1991-08-01,9.66
1991-09-01,9.53
1991-10-01,9.71
1991-11-01,9.77
1991-12-01,9.71
1992-01-01,9.64
1992-02-01,9.66
1992-03-01,9.63
1992-04-01,9.58
1992-05-01,9.45
1992-06-01,9.4
1992-07-01,9.39
1992-08-01,9.31
1992-09-01,9.35
1992-10-01,9.67
1992-11-01,9.53
1992-12-01,9.16
1993-01-01,9.1
1993-02-01,8.82
1993-03-01,8.55
1993-04-01,8.67
1993-05-01,8.8
1993-06-01,8.64
1993-07-01,8.35
1993-08-01,7.91
1993-09-01,7.76
1993-10-01,7.78
1993-11-01,8.02
1993-12-01,7.96
1994-01-01,7.97
1994-02-01,8.05
1994-03-01,8.34
1994-04-01,8.64
1994-05-01,8.64
1994-06-01,8.72
1994-07-01,8.83
1994-08-01,8.76
1994-09-01,9.05
1994-10-01,9.17
1994-11-01,9.19
1994-12-01,8.8
1995-01-01,8.82
1995-02-01,8.74
1995-03-01,8.77
1995-04-01,8.75
1995-05-01,8.32
1995-06-01,7.99
1995-07-01,8.18
1995-08-01,8.31
1995-09-01,8.06
1995-10-01,7.79
1995-11-01,7.65
1995-12-01,7.44
1996-01-01,7.43
1996-02-01,7.76
1996-03-01,8.09
1996-04-01,8.22
1996-05-01,8.23
1996-06-01,8.31
1996-07-01,8.25
1996-08-01,8.05
1996-09-01,8.25
1996-10-01,8.03
1996-11-01,7.73
1996-12-01,7.79
1997-01-01,7.99
1997-02-01,7.88
1997-03-01,8.12
1997-04-01,8.31
1997-05-01,8.21
1997-06-01,8.05
1997-07-01,7.75
1997-08-01,7.78
1997-09-01,7.71
1997-10-01,7.57
1997-11-01,7.39
1997-12-01,7.22
1998-01-01,7.14
1998-02-01,7.22
1998-03-01,7.21
1998-04-01,7.16
1998-05-01,7.13
1998-06-01,6.91
1998-07-01,6.97
1998-08-01,7
1998-09-01,7.18
1998-10-01,7.32
1998-11-01,7.32
1998-12-01,7.07
1999-01-01,7.07
1999-02-01,7.12
1999-03-01,7.29
1999-04-01,7.28
1999-05-01,7.51
1999-06-01,7.76
1999-07-01,7.74
