"Date","M1218CUSM144SNBR"
1919-01-01,321.4
1919-02-01,317.7
1919-03-01,307.6
1919-04-01,311.9
1919-05-01,331.9
1919-06-01,342
1919-07-01,353.2
1919-08-01,349.9
1919-09-01,352.4
1919-10-01,344.4
1919-11-01,341.2
1919-12-01,357.3
1920-01-01,361.4
1920-02-01,338.8
1920-03-01,355.6
1920-04-01,345.9
1920-05-01,330.4
1920-06-01,338.8
1920-07-01,346.7
1920-08-01,337.3
1920-09-01,347.5
1920-10-01,330.4
1920-11-01,338.1
1920-12-01,345.1
1921-01-01,318.4
1921-02-01,317
1921-03-01,313.3
1921-04-01,317
1921-05-01,311.2
1921-06-01,319.9
1921-07-01,313.3
1921-08-01,325.1
1921-09-01,334.2
1921-10-01,320.6
1921-11-01,328.1
1921-12-01,332.7
1922-01-01,319.2
1922-02-01,338.8
1922-03-01,342.8
1922-04-01,334.2
1922-05-01,342
1922-06-01,354.8
1922-07-01,339.6
1922-08-01,346.7
1922-09-01,354
1922-10-01,3491
1922-11-01,345.9
1922-12-01,362.2
1923-01-01,379.3
1923-02-01,384.6
1923-03-01,381.9
1923-04-01,378.4
1923-05-01,386.4
1923-06-01,383.7
1923-07-01,363.9
1923-08-01,368.1
1923-09-01,357.3
1923-10-01,363.9
1923-11-01,367.3
1923-12-01,369.8
1924-01-01,364.8
1924-02-01,376.7
1924-03-01,369.8
1924-04-01,379.3
1924-05-01,373.2
1924-06-01,363.1
1924-07-01,374.1
1924-08-01,375.8
1924-09-01,377.6
1924-10-01,389
1924-11-01,374.1
1924-12-01,391.7
1925-01-01,415.9
1925-02-01,408.3
1925-03-01,401.8
1925-04-01,406.4
1925-05-01,401.8
1925-06-01,415.9
1925-07-01,418.8
1925-08-01,409.3
1925-09-01,416.9
1925-10-01,429.5
1925-11-01,407.4
1925-12-01,418.8
1926-01-01,430.5
1926-02-01,432.5
1926-03-01,437.5
1926-04-01,435.5
1926-05-01,413
1926-06-01,408.3
1926-07-01,448.7
1926-08-01,428.5
1926-09-01,422.7
1926-10-01,427.6
1926-11-01,414
1926-12-01,432.5
1927-01-01,436.5
1927-02-01,453.9
1927-03-01,449.8
1927-04-01,460.3
1927-05-01,442.6
1927-06-01,453.9
1927-07-01,446.6
1927-08-01,455
1927-09-01,461.3
1927-10-01,447.7
1927-11-01,456
1927-12-01,459.2
1928-01-01,458
1928-02-01,467
1928-03-01,489
1928-04-01,477
1928-05-01,490
1928-06-01,488
1928-07-01,447
1928-08-01,461
1928-09-01,467
1928-10-01,468
1928-11-01,489
1928-12-01,502
1929-01-01,497
1929-02-01,526
1929-03-01,514
1929-04-01,494
1929-05-01,488
1929-06-01,469
1929-07-01,517
1929-08-01,540
1929-09-01,508
1929-10-01,532
1929-11-01,552
1929-12-01,466
1930-01-01,468
1930-02-01,478
1930-03-01,476
1930-04-01,461
1930-05-01,467
1930-06-01,463
1930-07-01,457
1930-08-01,438
1930-09-01,433
1930-10-01,434
1930-11-01,412
1930-12-01,441
1931-01-01,437
1931-02-01,418
1931-03-01,407
1931-04-01,418
1931-05-01,406
1931-06-01,410
1931-07-01,407
1931-08-01,385
1931-09-01,385
1931-10-01,376
1931-11-01,341
1931-12-01,368
1932-01-01,365
1932-02-01,351
1932-03-01,330
1932-04-01,353
1932-05-01,312
1932-06-01,317
1932-07-01,319
1932-08-01,309
1932-09-01,303
1932-10-01,281
1932-11-01,283
1932-12-01,302
1933-01-01,300
1933-02-01,323
1933-03-01,257
1933-04-01,282
1933-05-01,298
1933-06-01,322
1933-07-01,346
1933-08-01,325
1933-09-01,312
1933-10-01,316
1933-11-01,302
1933-12-01,325
1934-01-01,317
1934-02-01,319
1934-03-01,327
1934-04-01,330
1934-05-01,335
1934-06-01,332
1934-07-01,319
1934-08-01,331
1934-09-01,326
1934-10-01,333
1934-11-01,334
1934-12-01,339
1935-01-01,340
1935-02-01,344
1935-03-01,350
1935-04-01,353
1935-05-01,355
1935-06-01,342
1935-07-01,364
1935-08-01,369
1935-09-01,362
1935-10-01,363
1935-11-01,385
1935-12-01,371
1936-01-01,376
1936-02-01,375
1936-03-01,371
1936-04-01,378
1936-05-01,377
1936-06-01,394
1936-07-01,390
1936-08-01,385
1936-09-01,396
1936-10-01,405
1936-11-01,398
1936-12-01,413
1937-01-01,409
1937-02-01,409
1937-03-01,416
1937-04-01,405
1937-05-01,400
1937-06-01,396
1937-07-01,403
1937-08-01,401
1937-09-01,402
1937-10-01,391
1937-11-01,392
1937-12-01,374
1938-01-01,370
1938-02-01,361
1938-03-01,362
1938-04-01,364
1938-05-01,358
1938-06-01,362
1938-07-01,354
1938-08-01,369
1938-09-01,367
1938-10-01,362
1938-11-01,369
1938-12-01,375
1939-01-01,380
1939-02-01,380
1939-03-01,384
1939-04-01,380
1939-05-01,401
1939-06-01,394
1939-07-01,385
1939-08-01,408
1939-09-01,406
1939-10-01,381
1939-11-01,401
