"Date","TB1YS"
1996-11-01,5.14
1996-12-01,5.18
1997-01-01,5.3
1997-02-01,5.23
1997-03-01,5.47
1997-04-01,5.64
1997-05-01,5.54
1997-06-01,5.38
1997-07-01,5.24
1997-08-01,5.27
1997-09-01,5.23
1997-10-01,5.17
1997-11-01,5.17
1997-12-01,5.24
1998-01-01,4.98
1998-02-01,5.04
1998-03-01,5.11
1998-04-01,5.1
1998-05-01,5.16
1998-06-01,5.13
1998-07-01,5.08
1998-08-01,4.94
1998-09-01,4.5
1998-10-01,3.95
1998-11-01,4.33
1998-12-01,4.32
1999-01-01,4.31
1999-02-01,4.48
1999-03-01,4.53
1999-04-01,4.45
1999-05-01,4.6
1999-06-01,4.82
1999-07-01,4.75
1999-08-01,4.91
1999-09-01,4.96
1999-10-01,5.12
1999-11-01,5.24
1999-12-01,5.51
2000-01-01,5.75
2000-02-01,5.84
2000-03-01,5.86
2000-04-01,5.8
2000-05-01,5.94
2000-06-01,5.83
2000-07-01,5.75
2000-08-01,5.87
2000-09-01,5.79
2000-10-01,5.72
2000-11-01,5.84
2000-12-01,5.33
2001-01-01,4.63
2001-02-01,4.51
2001-03-01,4.11
2001-04-01,3.8
2001-05-01,3.6
2001-06-01,3.37
2001-07-01,3.39
