"Date","M13008USM156NNBR"
1917-02-01,5.05
1917-03-01,5.05
1917-04-01,5.04
1917-05-01,5.04
1917-06-01,5.04
1917-07-01,5.04
1917-08-01,5.04
1917-09-01,5.04
1917-10-01,5.04
1917-11-01,5.04
1917-12-01,5.15
1918-01-01,5.29
1918-02-01,5.29
1918-03-01,5.33
1918-04-01,5.5
1918-05-01,5.5
1918-06-01,5.5
1918-07-01,5.5
1918-08-01,5.5
1918-09-01,5.5
1918-10-01,5.5
1918-11-01,5.5
1918-12-01,5.5
1919-01-01,5.5
1919-02-01,5.5
1919-03-01,5.5
1919-04-01,5.5
1919-05-01,5.5
1919-06-01,5.5
1919-07-01,5.5
1919-08-01,5.5
1919-09-01,5.5
1919-10-01,5.5
1919-11-01,5.5
1919-12-01,5.5
1920-01-01,5.5
1920-02-01,5.5
1920-03-01,5.5
1920-04-01,5.5
1920-05-01,5.5
1920-06-01,5.5
1920-07-01,5.5
1920-08-01,5.5
1920-09-01,5.5
1920-10-01,5.5
1920-11-01,5.5
1920-12-01,5.53
1921-01-01,5.6
1921-02-01,5.62
1921-03-01,5.62
1921-04-01,5.76
1921-05-01,6
1921-06-01,6
1921-07-01,6
1921-08-01,6
1921-09-01,6
1921-10-01,6
1921-11-01,6
1921-12-01,6
1922-01-01,6
1922-02-01,6
1922-03-01,6
1922-04-01,6
1922-05-01,6
1922-06-01,5.5
1922-07-01,5.5
1922-08-01,5.5
1922-09-01,5.5
1922-10-01,5.5
1922-11-01,5.5
1922-12-01,5.5
1923-01-01,5.5
1923-02-01,5.5
1923-03-01,5.5
1923-04-01,5.5
1923-05-01,5.5
1923-06-01,5.5
1923-07-01,5.5
1923-08-01,5.5
1923-09-01,5.5
1923-10-01,5.5
1923-11-01,5.5
1923-12-01,5.5
1924-01-01,5.5
1924-02-01,5.5
1924-03-01,5.5
1924-04-01,5.5
1924-05-01,5.5
1924-06-01,5.5
1924-07-01,5.5
1924-08-01,5.5
1924-09-01,5.5
1924-10-01,5.5
1924-11-01,5.5
1924-12-01,5.5
1925-01-01,5.5
1925-02-01,5.5
1925-03-01,5.5
1925-04-01,5.5
1925-05-01,5.48
1925-06-01,5.48
1925-07-01,5.48
1925-08-01,5.48
1925-09-01,5.48
1925-10-01,5.39
1925-11-01,5.39
1925-12-01,5.39
1926-01-01,5.35
1926-02-01,5.35
1926-03-01,5.35
1926-04-01,5.35
1926-05-01,5.35
1926-06-01,5.35
1926-07-01,5.35
1926-08-01,5.28
1926-09-01,5.23
1926-10-01,5.2
1926-11-01,5.2
1926-12-01,5.2
1927-01-01,5.18
1927-02-01,5.12
