"Date","HQMCB6MT"
1984-01-01,11.02
1984-02-01,11
1984-03-01,12.32
1984-04-01,12.55
1984-05-01,13.48
1984-06-01,13.59
1984-07-01,13.24
1984-08-01,13.19
1984-09-01,12.95
1984-10-01,11.75
1984-11-01,11.44
1984-12-01,10.58
1985-01-01,9.88
1985-02-01,9.69
1985-03-01,10.34
1985-04-01,10.09
1985-05-01,9.59
1985-06-01,9
1985-07-01,8.97
1985-08-01,9.45
1985-09-01,9.29
1985-10-01,9.3
1985-11-01,9.18
1985-12-01,8.98
1986-01-01,9.36
1986-02-01,8.86
1986-03-01,8.41
1986-04-01,8.31
1986-05-01,8.42
1986-06-01,8.35
1986-07-01,7.71
1986-08-01,7.19
1986-09-01,7.14
1986-10-01,6.9
1986-11-01,6.84
1986-12-01,6.92
1987-01-01,7.08
1987-02-01,6.87
1987-03-01,6.8
1987-04-01,7.4
1987-05-01,8.04
1987-06-01,7.79
1987-07-01,7.37
1987-08-01,7.62
1987-09-01,8.16
1987-10-01,8.53
1987-11-01,7.99
1987-12-01,8.07
1988-01-01,8.09
1988-02-01,7.77
1988-03-01,7.65
1988-04-01,7.95
1988-05-01,8.05
1988-06-01,8.03
1988-07-01,8.29
1988-08-01,8.77
1988-09-01,8.96
1988-10-01,8.94
1988-11-01,9.28
1988-12-01,9.66
1989-01-01,9.74
1989-02-01,9.96
1989-03-01,10.46
1989-04-01,10.6
1989-05-01,9.95
1989-06-01,9.21
1989-07-01,8.88
1989-08-01,8.99
1989-09-01,9.19
1989-10-01,8.89
1989-11-01,8.65
1989-12-01,8.62
1990-01-01,8.92
1990-02-01,9.13
1990-03-01,9.1
1990-04-01,9.27
1990-05-01,9.25
1990-06-01,9
1990-07-01,8.94
1990-08-01,8.8
1990-09-01,8.82
1990-10-01,8.91
1990-11-01,8.76
1990-12-01,8.37
1991-01-01,8.01
1991-02-01,7.62
1991-03-01,7.52
1991-04-01,7.15
1991-05-01,6.93
1991-06-01,6.97
1991-07-01,6.94
1991-08-01,7.14
1991-09-01,9.09
1991-10-01,10.28
1991-11-01,9.6
1991-12-01,9.25
1992-01-01,8.38
1992-02-01,5.9
1992-03-01,6.04
1992-04-01,5.81
1992-05-01,5.68
1992-06-01,5.23
1992-07-01,4.58
1992-08-01,4.32
1992-09-01,4.07
1992-10-01,4.3
1992-11-01,4.72
1992-12-01,4.58
1993-01-01,4.49
1993-02-01,4.28
1993-03-01,4.11
1993-04-01,4.04
1993-05-01,4.06
1993-06-01,4.1
1993-07-01,4.05
1993-08-01,3.97
1993-09-01,3.86
1993-10-01,3.92
1993-11-01,4.02
1993-12-01,3.89
1994-01-01,3.72
1994-02-01,3.97
1994-03-01,4.36
1994-04-01,5.02
1994-05-01,5.43
1994-06-01,5.33
1994-07-01,5.51
1994-08-01,5.62
1994-09-01,5.79
1994-10-01,6.11
1994-11-01,6.53
1994-12-01,7.28
1995-01-01,7.25
1995-02-01,7
1995-03-01,6.75
1995-04-01,6.65
1995-05-01,6.36
1995-06-01,6.11
1995-07-01,6.03
1995-08-01,6.11
1995-09-01,6.07
1995-10-01,5.97
1995-11-01,5.84
1995-12-01,5.72
1996-01-01,5.48
1996-02-01,5.36
1996-03-01,5.66
1996-04-01,5.79
1996-05-01,5.81
1996-06-01,5.99
1996-07-01,6.02
1996-08-01,5.88
1996-09-01,6.05
1996-10-01,5.78
1996-11-01,5.71
1996-12-01,5.75
1997-01-01,5.77
1997-02-01,5.71
1997-03-01,5.89
1997-04-01,6.05
1997-05-01,6
1997-06-01,5.93
1997-07-01,5.84
1997-08-01,5.91
1997-09-01,5.9
1997-10-01,5.88
1997-11-01,6
1997-12-01,6.05
1998-01-01,5.78
1998-02-01,5.85
1998-03-01,5.85
1998-04-01,5.83
1998-05-01,5.88
1998-06-01,5.81
1998-07-01,5.85
1998-08-01,5.86
1998-09-01,5.7
1998-10-01,5.34
1998-11-01,5.49
1998-12-01,5.42
1999-01-01,5.26
1999-02-01,5.33
1999-03-01,5.33
1999-04-01,5.25
1999-05-01,5.34
1999-06-01,5.65
1999-07-01,5.64
1999-08-01,5.84
1999-09-01,5.93
1999-10-01,6.15
1999-11-01,6.24
1999-12-01,6.46
2000-01-01,6.54
2000-02-01,6.68
2000-03-01,6.81
2000-04-01,6.94
2000-05-01,7.27
2000-06-01,7.12
2000-07-01,7.07
2000-08-01,7
2000-09-01,6.96
2000-10-01,6.9
2000-11-01,6.9
2000-12-01,6.63
2001-01-01,5.7
2001-02-01,5.41
2001-03-01,5.07
2001-04-01,4.78
2001-05-01,4.4
2001-06-01,4.14
2001-07-01,4.1
2001-08-01,3.82
2001-09-01,3.29
2001-10-01,2.75
2001-11-01,2.46
2001-12-01,2.3
2002-01-01,2.17
2002-02-01,2.43
2002-03-01,2.67
2002-04-01,2.63
2002-05-01,2.63
2002-06-01,2.4
2002-07-01,2.32
2002-08-01,2.28
2002-09-01,2.28
2002-10-01,2.3
2002-11-01,1.97
2002-12-01,1.87
2003-01-01,1.79
2003-02-01,1.58
2003-03-01,1.47
2003-04-01,1.45
2003-05-01,1.41
2003-06-01,1.27
2003-07-01,1.28
2003-08-01,1.37
2003-09-01,1.31
2003-10-01,1.36
2003-11-01,1.39
2003-12-01,1.33
2004-01-01,1.24
2004-02-01,1.3
2004-03-01,1.3
2004-04-01,1.44
2004-05-01,1.67
2004-06-01,1.97
2004-07-01,2.04
2004-08-01,2.07
2004-09-01,2.19
2004-10-01,2.33
2004-11-01,2.61
2004-12-01,2.8
2005-01-01,3.01
2005-02-01,3.18
2005-03-01,3.41
2005-04-01,3.57
2005-05-01,3.71
2005-06-01,3.79
2005-07-01,4
