"Date","HQMCB40YR"
1984-01-01,9.41
1984-02-01,10.79
1984-03-01,11.17
1984-04-01,11.43
1984-05-01,12.37
1984-06-01,12.59
1984-07-01,12.47
1984-08-01,11.99
1984-09-01,12.38
1984-10-01,10.57
1984-11-01,10.44
1984-12-01,11.32
1985-01-01,10.99
1985-02-01,10.06
1985-03-01,10.32
1985-04-01,10.18
1985-05-01,10.11
1985-06-01,9.7
1985-07-01,10.7
1985-08-01,11.02
1985-09-01,11.5
1985-10-01,11.38
1985-11-01,10.91
1985-12-01,10.33
1986-01-01,9.47
1986-02-01,9.59
1986-03-01,8.69
1986-04-01,8.38
1986-05-01,9.26
1986-06-01,9.92
1986-07-01,9.57
1986-08-01,9.75
1986-09-01,9.91
1986-10-01,10.02
1986-11-01,9.75
1986-12-01,9.48
1987-01-01,9.4
1987-02-01,9.35
1987-03-01,9.34
1987-04-01,10.16
1987-05-01,10.86
1987-06-01,10.42
1987-07-01,10.2
1987-08-01,10.27
1987-09-01,10.52
1987-10-01,10.53
1987-11-01,9.93
1987-12-01,10.05
1988-01-01,9.52
1988-02-01,9.32
1988-03-01,9.57
1988-04-01,10.15
1988-05-01,10.53
1988-06-01,10.21
1988-07-01,10.38
1988-08-01,10.28
1988-09-01,10.05
1988-10-01,9.9
1988-11-01,9.84
1988-12-01,9.79
1989-01-01,9.84
1989-02-01,9.93
1989-03-01,9.92
1989-04-01,9.73
1989-05-01,9.63
1989-06-01,9.25
1989-07-01,9.25
1989-08-01,9.24
1989-09-01,9.23
1989-10-01,9.12
1989-11-01,9.01
1989-12-01,8.95
1990-01-01,9.05
1990-02-01,9.29
1990-03-01,9.5
1990-04-01,9.62
1990-05-01,9.86
1990-06-01,9.68
1990-07-01,9.73
1990-08-01,10.41
1990-09-01,10.62
1990-10-01,10.7
1990-11-01,10.39
1990-12-01,10.06
1991-01-01,10.01
1991-02-01,9.65
1991-03-01,9.93
1991-04-01,9.74
1991-05-01,9.89
1991-06-01,10.12
1991-07-01,10.07
1991-08-01,9.78
1991-09-01,9.65
1991-10-01,9.88
1991-11-01,9.96
1991-12-01,9.97
1992-01-01,9.92
1992-02-01,9.89
1992-03-01,9.83
1992-04-01,9.78
1992-05-01,9.63
1992-06-01,9.6
1992-07-01,9.65
1992-08-01,9.6
1992-09-01,9.68
1992-10-01,10.04
1992-11-01,9.82
1992-12-01,9.39
1993-01-01,9.35
1993-02-01,9.09
1993-03-01,8.8
1993-04-01,8.96
1993-05-01,9.1
1993-06-01,8.93
1993-07-01,8.62
1993-08-01,8.12
1993-09-01,8.01
1993-10-01,8.03
1993-11-01,8.25
1993-12-01,8.18
1994-01-01,8.19
1994-02-01,8.25
1994-03-01,8.5
1994-04-01,8.76
1994-05-01,8.72
