"Date","TYRCA3MCD"
2021-04-01,0.8
2021-05-01,0.79
2021-06-01,0.76
2021-07-01,0.81
2021-08-01,0.81
2021-09-01,0.8
2021-10-01,0.8
2021-11-01,0.8
2021-12-01,0.81
2022-01-01,0.81
2022-02-01,1.01
2022-03-01,1.01
2022-04-01,1.17
2022-05-01,1.37
2022-06-01,1.77
2022-07-01,2.81
2022-08-01,3.64
2022-09-01,4.3
2022-10-01,4.75
2022-11-01,5.81
2022-12-01,5.99
2023-01-01,6.05
2023-02-01,6.39
2023-03-01,6.61
2023-04-01,6.61
2023-05-01,6.57
2023-06-01,6.87
2023-07-01,7.27
2023-08-01,7.27
2023-09-01,7.42
2023-10-01,7.41
2023-11-01,7.41
