"Date","HQMCB25Y6M"
1984-01-01,10.42
1984-02-01,11.32
1984-03-01,11.7
1984-04-01,11.88
1984-05-01,12.61
1984-06-01,12.73
1984-07-01,12.67
1984-08-01,12.24
1984-09-01,12.45
1984-10-01,11.3
1984-11-01,11.11
1984-12-01,11.67
1985-01-01,11.4
1985-02-01,10.8
1985-03-01,11.08
1985-04-01,10.88
1985-05-01,10.73
1985-06-01,10.34
1985-07-01,11
1985-08-01,11.17
1985-09-01,11.49
1985-10-01,11.33
1985-11-01,10.88
1985-12-01,10.42
1986-01-01,9.69
1986-02-01,9.72
1986-03-01,9
1986-04-01,8.67
1986-05-01,9.23
1986-06-01,9.72
1986-07-01,9.54
1986-08-01,9.61
1986-09-01,9.74
1986-10-01,9.87
1986-11-01,9.66
1986-12-01,9.4
1987-01-01,9.2
1987-02-01,9.18
1987-03-01,9.13
1987-04-01,9.87
1987-05-01,10.49
1987-06-01,10.22
1987-07-01,10.13
1987-08-01,10.27
1987-09-01,10.59
1987-10-01,10.66
1987-11-01,10.08
1987-12-01,10.16
1988-01-01,9.71
1988-02-01,9.42
1988-03-01,9.6
1988-04-01,10.07
1988-05-01,10.43
1988-06-01,10.18
1988-07-01,10.31
1988-08-01,10.28
1988-09-01,10.06
1988-10-01,9.89
1988-11-01,9.85
1988-12-01,9.83
1989-01-01,9.83
1989-02-01,9.91
1989-03-01,9.94
1989-04-01,9.77
1989-05-01,9.64
1989-06-01,9.24
1989-07-01,9.16
1989-08-01,9.15
1989-09-01,9.17
1989-10-01,9.07
1989-11-01,8.97
1989-12-01,8.95
1990-01-01,9.09
1990-02-01,9.34
1990-03-01,9.48
1990-04-01,9.61
1990-05-01,9.78
1990-06-01,9.59
1990-07-01,9.63
1990-08-01,10.19
1990-09-01,10.38
1990-10-01,10.43
1990-11-01,10.2
1990-12-01,9.9
1991-01-01,9.86
1991-02-01,9.55
1991-03-01,9.78
1991-04-01,9.6
1991-05-01,9.7
1991-06-01,9.89
1991-07-01,9.85
1991-08-01,9.58
1991-09-01,9.45
1991-10-01,9.59
1991-11-01,9.64
1991-12-01,9.53
1992-01-01,9.44
1992-02-01,9.5
1992-03-01,9.49
1992-04-01,9.43
1992-05-01,9.32
1992-06-01,9.25
1992-07-01,9.2
1992-08-01,9.1
1992-09-01,9.11
1992-10-01,9.4
1992-11-01,9.32
1992-12-01,8.99
1993-01-01,8.92
1993-02-01,8.63
1993-03-01,8.36
1993-04-01,8.47
1993-05-01,8.57
1993-06-01,8.43
1993-07-01,8.15
1993-08-01,7.76
1993-09-01,7.59
1993-10-01,7.59
1993-11-01,7.85
1993-12-01,7.8
1994-01-01,7.81
1994-02-01,7.91
1994-03-01,8.23
1994-04-01,8.55
1994-05-01,8.58
