"Date","ATLSBUEGEI"
2015-01-01,93.71858
2015-02-01,93.29356
2015-03-01,94.79091
2015-04-01,94.79091
2015-05-01,96.02977
2015-06-01,94.2645
2015-07-01,94.83308
2015-08-01,93.66064
2015-09-01,93.3948
2015-10-01,90.0836
2015-11-01,92.1274
2015-12-01,91.47453
2016-01-01,91.47453
2016-02-01,88.38611
2016-03-01,90.51949
2016-04-01,90.45135
2016-05-01,92.67765
2016-06-01,89.57085
2016-07-01,88.59188
2016-08-01,87.39776
2016-09-01,88.52588
2016-10-01,85.82234
2016-11-01,98.6815
2016-12-01,98.11953
2017-01-01,98.63544
2017-02-01,106.0815
2017-03-01,110.3212
2017-04-01,111.2338
2017-05-01,104.2225
2017-06-01,102.7588
2017-07-01,99.19884
2017-08-01,95.36261
2017-09-01,89.32157
2017-10-01,95.88605
2017-11-01,100.956
2017-12-01,109.1225
2018-01-01,107.5625
2018-02-01,106.2601
2018-03-01,116.5117
2018-04-01,118.5591
2018-05-01,118.7126
2018-06-01,108.3848
2018-07-01,112.1057
2018-08-01,114.8368
2018-09-01,116.8048
2018-10-01,114.7055
2018-11-01,117.5765
2018-12-01,112.1979
2019-01-01,106.7954
2019-02-01,103.1101
2019-03-01,104.2193
2019-04-01,104.2172
2019-05-01,98.16342
2019-06-01,103.2244
2019-07-01,99.43567
2019-08-01,102.4542
2019-09-01,97.5442
2019-10-01,101.5173
2019-11-01,96.32909
2019-12-01,98.91101
2020-01-01,108.0865
2020-02-01,106.5538
2020-03-01,100.897
2020-04-01,84.36418
2020-05-01,82.35233
2020-06-01,94.11436
2020-07-01,101.2661
