"Date","ATLSBUIREI"
2015-01-01,94.21423
2015-02-01,91.41843
2015-03-01,97.09245
2015-04-01,93.67543
2015-05-01,91.23291
2015-06-01,91.43423
2015-07-01,87.03692
2015-08-01,104.7939
2015-09-01,108.2692
2015-10-01,106.4663
2015-11-01,104.5587
2015-12-01,98.1047
2016-01-01,99.18769
2016-02-01,102.3192
2016-03-01,101.3021
2016-04-01,104.7932
2016-05-01,80.98474
2016-06-01,77.28228
2016-07-01,77.09924
2016-08-01,80.41756
2016-09-01,85.99344
2016-10-01,95.34324
2016-11-01,100.4522
2016-12-01,100.8463
2017-01-01,93.04148
2017-02-01,106.5292
2017-03-01,100.7397
2017-04-01,110.74
2017-05-01,105.3421
2017-06-01,109.8852
2017-07-01,99.64606
2017-08-01,108.9206
2017-09-01,103.4808
2017-10-01,102.6269
2017-11-01,88.54836
2017-12-01,109.924
2018-01-01,109.3855
2018-02-01,120.1697
2018-03-01,96.93971
2018-04-01,111.7887
2018-05-01,99.07064
2018-06-01,117.8482
2018-07-01,103.348
2018-08-01,111.611
2018-09-01,94.72045
2018-10-01,108.0678
2018-11-01,100.2596
2018-12-01,113.048
2019-01-01,100.0223
2019-02-01,100.9182
2019-03-01,89.97126
2019-04-01,98.58321
2019-05-01,99.3954
2019-06-01,94.62323
2019-07-01,92.63172
2019-08-01,92.37817
2019-09-01,100.2909
2019-10-01,96.20641
2019-11-01,90.45472
2019-12-01,99.40511
2020-01-01,110.8871
2020-02-01,119.0207
2020-03-01,110.6451
2020-04-01,103.0989
2020-05-01,93.96012
2020-06-01,93.79671
2020-07-01,93.49128
