"Date","ATLSBUSGEI"
2015-01-01,87.06664
2015-02-01,92.84266
2015-03-01,95.08202
2015-04-01,93.17998
2015-05-01,97.07629
2015-06-01,97.26445
2015-07-01,95.16963
2015-08-01,96.25974
2015-09-01,97.16409
2015-10-01,97.14498
2015-11-01,98.63452
2015-12-01,101.4931
2016-01-01,102.7571
2016-02-01,98.22225
2016-03-01,99.46832
2016-04-01,100.5328
2016-05-01,103.1335
2016-06-01,108.0924
2016-07-01,110.532
2016-08-01,104.9188
2016-09-01,104.4163
2016-10-01,102.1412
2016-11-01,90.43551
2016-12-01,90.60026
2017-01-01,92.7741
2017-02-01,92.27018
2017-03-01,96.4532
2017-04-01,93.45143
2017-05-01,94.03443
2017-06-01,83.46312
2017-07-01,78.86248
2017-08-01,85.93141
2017-09-01,92.26261
2017-10-01,98.26677
2017-11-01,97.98156
2017-12-01,96.39391
2018-01-01,99.9457
2018-02-01,95.49443
2018-03-01,106.3815
2018-04-01,103.0716
2018-05-01,113.5779
2018-06-01,102.7811
2018-07-01,116.9495
2018-08-01,110.196
2018-09-01,126.4229
2018-10-01,121.226
2018-11-01,128.5497
2018-12-01,109.63
2019-01-01,102.6644
2019-02-01,88.04994
2019-03-01,97.23364
2019-04-01,100.4507
2019-05-01,112.9031
2019-06-01,111.2391
2019-07-01,96.97953
2019-08-01,88.85381
2019-09-01,75.94393
2019-10-01,77.87748
2019-11-01,93.73038
2019-12-01,86.73313
2020-01-01,87.61079
2020-02-01,82.77311
2020-03-01,53.55281
2020-04-01,0.033741
2020-05-01,-35.94489
2020-06-01,-28.2492
2020-07-01,13.01683
