"Date","NJSLIND"
1982-01-01,-0.59
1982-02-01,-0.39
1982-03-01,0.28
1982-04-01,0.68
1982-05-01,1.46
1982-06-01,1.4
1982-07-01,0.97
1982-08-01,0.66
1982-09-01,0.27
1982-10-01,0.68
1982-11-01,1.28
1982-12-01,1.32
1983-01-01,1.97
1983-02-01,1.96
1983-03-01,2.6
1983-04-01,2.67
1983-05-01,2.19
1983-06-01,2.58
1983-07-01,3.14
1983-08-01,2.75
1983-09-01,2.74
1983-10-01,2.65
1983-11-01,2.44
1983-12-01,2.31
1984-01-01,2.59
1984-02-01,2.65
1984-03-01,2.02
1984-04-01,2.08
1984-05-01,1.97
1984-06-01,1.37
1984-07-01,1.36
1984-08-01,1.62
1984-09-01,1.99
1984-10-01,1.82
1984-11-01,1.61
1984-12-01,1.5
1985-01-01,1.33
1985-02-01,1.3
1985-03-01,1.32
1985-04-01,1.42
1985-05-01,1.51
1985-06-01,1.84
1985-07-01,1.67
1985-08-01,1.96
1985-09-01,1.49
1985-10-01,1.42
1985-11-01,1.37
1985-12-01,1.46
1986-01-01,1.33
1986-02-01,1.78
1986-03-01,1.64
1986-04-01,2.02
1986-05-01,1.79
1986-06-01,1.31
1986-07-01,1.78
1986-08-01,2.24
1986-09-01,1.65
1986-10-01,2.21
1986-11-01,1.93
1986-12-01,2.11
1987-01-01,1.6
1987-02-01,1.56
1987-03-01,1.32
1987-04-01,1.04
1987-05-01,0.89
1987-06-01,0.93
1987-07-01,1.67
1987-08-01,1.36
1987-09-01,1.33
1987-10-01,1.28
1987-11-01,1.6
1987-12-01,1.38
1988-01-01,1.3
1988-02-01,1.29
1988-03-01,1.35
1988-04-01,1.32
1988-05-01,1.12
1988-06-01,1.4
1988-07-01,1.36
1988-08-01,1.3
1988-09-01,0.99
1988-10-01,0.78
1988-11-01,1.41
1988-12-01,1.36
1989-01-01,1.35
1989-02-01,1.37
1989-03-01,0.97
1989-04-01,0.46
1989-05-01,0.07
1989-06-01,0.09
1989-07-01,0.24
1989-08-01,0.04
1989-09-01,0.61
1989-10-01,0.25
1989-11-01,0.66
1989-12-01,0.91
1990-01-01,1.39
1990-02-01,0.63
1990-03-01,0.9
1990-04-01,0.31
1990-05-01,-0.04
1990-06-01,-0.17
1990-07-01,-0.29
1990-08-01,-0.65
1990-09-01,-1.24
1990-10-01,-1.62
1990-11-01,-1.1
1990-12-01,-0.98
1991-01-01,-0.73
1991-02-01,-0.2
1991-03-01,0.1
1991-04-01,0.22
1991-05-01,0.56
1991-06-01,0.81
1991-07-01,0.88
1991-08-01,1.02
1991-09-01,0.49
1991-10-01,0.18
1991-11-01,0.23
1991-12-01,0.13
1992-01-01,-0.16
1992-02-01,-0.05
1992-03-01,0.11
1992-04-01,-0.06
1992-05-01,0.19
1992-06-01,0.22
1992-07-01,0.55
1992-08-01,0.93
1992-09-01,1.1
1992-10-01,1.35
1992-11-01,1.5
1992-12-01,1.55
1993-01-01,1.75
1993-02-01,1.96
1993-03-01,1.76
1993-04-01,1.89
1993-05-01,1.8
1993-06-01,2.09
1993-07-01,1.91
1993-08-01,1.73
1993-09-01,1.85
1993-10-01,2.13
1993-11-01,1.64
1993-12-01,1.77
1994-01-01,1.17
1994-02-01,1.01
1994-03-01,1.36
1994-04-01,1.95
1994-05-01,2.08
1994-06-01,1.56
1994-07-01,1.85
1994-08-01,2.12
1994-09-01,1.48
1994-10-01,1.59
1994-11-01,1.58
1994-12-01,1.68
1995-01-01,1.39
1995-02-01,0.94
1995-03-01,0.84
1995-04-01,0.64
1995-05-01,0.38
1995-06-01,0.58
1995-07-01,0.75
1995-08-01,1.07
1995-09-01,1.43
1995-10-01,1.23
1995-11-01,0.9
1995-12-01,0.94
1996-01-01,0.47
1996-02-01,1.13
1996-03-01,1.31
1996-04-01,1.35
1996-05-01,1.67
1996-06-01,1.81
1996-07-01,1.72
1996-08-01,1.45
1996-09-01,1.21
1996-10-01,1.23
1996-11-01,1.41
1996-12-01,1.78
1997-01-01,1.74
1997-02-01,1.7
1997-03-01,2.04
1997-04-01,1.8
1997-05-01,1.65
1997-06-01,1.68
1997-07-01,1.49
1997-08-01,1.41
1997-09-01,1.43
1997-10-01,1.55
1997-11-01,1.44
1997-12-01,1.33
1998-01-01,1.42
1998-02-01,1.62
1998-03-01,1.21
1998-04-01,1.4
1998-05-01,1.69
1998-06-01,1.99
1998-07-01,1.24
1998-08-01,1.38
