"Date","TYRCA24MCD"
2021-04-01,0.92
2021-05-01,0.94
2021-06-01,0.94
2021-07-01,1.05
2021-08-01,1.05
2021-09-01,0.99
2021-10-01,1.09
2021-11-01,1.09
2021-12-01,1.33
2022-01-01,1.37
2022-02-01,2.17
2022-03-01,2.17
2022-04-01,2.48
2022-05-01,3.49
2022-06-01,3.99
2022-07-01,4.25
2022-08-01,4.22
2022-09-01,4.89
2022-10-01,5.81
2022-11-01,6.16
2022-12-01,6.01
2023-01-01,6.04
2023-02-01,5.8
2023-03-01,6.52
2023-04-01,6.52
2023-05-01,5.62
2023-06-01,5.6
2023-07-01,6.59
2023-08-01,6.59
2023-09-01,6.57
2023-10-01,6.79
2023-11-01,6.79
