"Date","LTIIT"
2000-01-01,4.34
2000-02-01,4.16
2000-03-01,4.08
2000-04-01,3.88
2000-05-01,3.97
2000-06-01,3.92
2000-07-01,3.86
2000-08-01,3.88
2000-09-01,3.93
2000-10-01,3.89
2000-11-01,3.85
2000-12-01,3.75
2001-01-01,3.63
2001-02-01,3.52
2001-03-01,3.46
2001-04-01,3.54
2001-05-01,3.47
2001-06-01,3.46
2001-07-01,3.47
2001-08-01,3.41
2001-09-01,3.43
2001-10-01,3.43
2001-11-01,3.29
2001-12-01,3.51
2002-01-01,3.48
2002-02-01,3.45
2002-03-01,3.48
2002-04-01,3.38
2002-05-01,3.31
2002-06-01,3.17
2002-07-01,3.11
2002-08-01,2.89
2002-09-01,2.69
2002-10-01,2.86
2002-11-01,2.9
2002-12-01,2.82
2003-01-01,2.72
2003-02-01,2.5
2003-03-01,2.52
2003-04-01,2.72
2003-05-01,2.4
2003-06-01,2.27
2003-07-01,2.64
2003-08-01,2.8
2003-09-01,2.67
2003-10-01,2.57
2003-11-01,2.4
2003-12-01,2.31
2004-01-01,2.24
2004-02-01,2.15
2004-03-01,1.93
2004-04-01,2.27
2004-05-01,2.45
2004-06-01,2.43
2004-07-01,2.36
2004-08-01,2.26
2004-09-01,2.18
2004-10-01,2.15
2004-11-01,2.11
2004-12-01,2
2005-01-01,1.95
2005-02-01,1.83
2005-03-01,1.93
2005-04-01,1.86
2005-05-01,1.8
2005-06-01,1.77
2005-07-01,1.96
2005-08-01,1.98
2005-09-01,1.89
2005-10-01,2.05
2005-11-01,2.12
2005-12-01,2.09
2006-01-01,2
2006-02-01,1.96
2006-03-01,2.13
2006-04-01,2.39
2006-05-01,2.45
2006-06-01,2.5
2006-07-01,2.47
2006-08-01,2.27
2006-09-01,2.26
2006-10-01,2.34
2006-11-01,2.19
2006-12-01,2.23
2007-01-01,2.4
2007-02-01,2.36
2007-03-01,2.25
2007-04-01,2.34
2007-05-01,2.43
2007-06-01,2.65
2007-07-01,2.6
2007-08-01,2.46
