"Date","TXSLIND"
1982-01-01,1.2
1982-02-01,1.02
1982-03-01,0.74
1982-04-01,0.1
1982-05-01,-0.12
1982-06-01,-0.15
1982-07-01,-0.25
1982-08-01,-0.33
1982-09-01,-0.66
1982-10-01,-0.47
1982-11-01,-0.11
1982-12-01,0.57
1983-01-01,0.94
1983-02-01,1.05
1983-03-01,1.25
1983-04-01,1.19
1983-05-01,1.31
1983-06-01,2.04
1983-07-01,2.47
1983-08-01,2.47
1983-09-01,2.7
1983-10-01,3
1983-11-01,3.28
1983-12-01,2.73
1984-01-01,2.73
1984-02-01,2.85
1984-03-01,3.21
1984-04-01,3.3
1984-05-01,3.28
1984-06-01,2.53
1984-07-01,2.04
1984-08-01,1.86
1984-09-01,1.54
1984-10-01,1.14
1984-11-01,0.99
1984-12-01,1.1
1985-01-01,1.36
1985-02-01,1.06
1985-03-01,1
1985-04-01,1.22
1985-05-01,1.39
1985-06-01,1.3
1985-07-01,1.2
1985-08-01,1.14
1985-09-01,1.15
1985-10-01,1.25
1985-11-01,0.88
1985-12-01,0.82
1986-01-01,0.92
1986-02-01,0.47
1986-03-01,0.06
1986-04-01,-0.58
1986-05-01,-0.67
1986-06-01,-0.8
1986-07-01,-0.27
1986-08-01,-0.08
1986-09-01,0.23
1986-10-01,0.33
1986-11-01,0.38
1986-12-01,0.73
1987-01-01,1.19
1987-02-01,1.38
1987-03-01,1.39
1987-04-01,1.56
1987-05-01,1.74
1987-06-01,1.6
1987-07-01,2.11
1987-08-01,2.03
1987-09-01,2.37
1987-10-01,2.22
1987-11-01,2.1
1987-12-01,2.05
1988-01-01,1.63
1988-02-01,1.69
1988-03-01,1.8
1988-04-01,1.76
1988-05-01,2.09
1988-06-01,2.58
1988-07-01,2.18
1988-08-01,1.99
1988-09-01,1.84
1988-10-01,1.83
1988-11-01,1.94
1988-12-01,2.11
1989-01-01,1.95
1989-02-01,1.79
1989-03-01,1.89
1989-04-01,1.78
1989-05-01,1.51
1989-06-01,1.24
1989-07-01,1.28
1989-08-01,1.36
1989-09-01,1.22
1989-10-01,1.58
1989-11-01,1.71
1989-12-01,1.98
1990-01-01,2.77
1990-02-01,2.35
1990-03-01,2.24
1990-04-01,2.22
1990-05-01,2.4
1990-06-01,2.32
1990-07-01,1.67
1990-08-01,1.74
1990-09-01,1.62
1990-10-01,1.53
1990-11-01,1.04
1990-12-01,0.77
1991-01-01,0.49
1991-02-01,0.73
1991-03-01,0.9
1991-04-01,1.23
1991-05-01,1.38
1991-06-01,1.58
1991-07-01,1.64
1991-08-01,1.27
1991-09-01,1.46
1991-10-01,1.37
1991-11-01,1.19
1991-12-01,1.03
1992-01-01,0.94
1992-02-01,1.1
1992-03-01,1.24
1992-04-01,1.3
1992-05-01,1.63
1992-06-01,1.74
1992-07-01,1.98
1992-08-01,1.52
1992-09-01,1.85
1992-10-01,2.02
1992-11-01,2.18
1992-12-01,2.18
1993-01-01,2.09
1993-02-01,2.18
1993-03-01,2.2
1993-04-01,1.94
1993-05-01,1.84
1993-06-01,1.61
1993-07-01,2.2
1993-08-01,2.18
1993-09-01,2.26
1993-10-01,1.89
1993-11-01,1.83
1993-12-01,2
1994-01-01,2.26
1994-02-01,2.16
1994-03-01,2.34
1994-04-01,2.45
1994-05-01,2.35
1994-06-01,2.38
1994-07-01,2.39
1994-08-01,2.54
1994-09-01,2.27
1994-10-01,2.36
1994-11-01,2.46
1994-12-01,2.55
1995-01-01,2.26
1995-02-01,2.02
1995-03-01,1.72
1995-04-01,1.61
1995-05-01,1.32
1995-06-01,1.24
1995-07-01,1.55
