"Date","NDRRCA36MCD"
2021-04-01,0.96
2021-05-01,0.94
2021-06-01,0.96
2021-07-01,0.95
2021-08-01,0.95
2021-09-01,0.96
2021-10-01,0.95
2021-11-01,0.95
2021-12-01,0.94
2022-01-01,0.96
2022-02-01,0.96
2022-03-01,0.96
2022-04-01,0.97
2022-05-01,1
2022-06-01,1.06
2022-07-01,1.22
2022-08-01,1.29
2022-09-01,1.41
2022-10-01,1.52
2022-11-01,1.65
2022-12-01,1.77
2023-01-01,1.91
2023-02-01,1.97
2023-03-01,2.06
2023-04-01,2.06
2023-05-01,2.09
2023-06-01,2.11
2023-07-01,2.12
2023-08-01,2.12
2023-09-01,2.13
2023-10-01,2.13
2023-11-01,2.13
