"Date","NRC60MCD"
2021-04-01,1.65
2021-05-01,1.85
2021-06-01,1.78
2021-07-01,1.79
2021-08-01,1.79
2021-09-01,1.67
2021-10-01,1.93
2021-11-01,1.93
2021-12-01,2.17
2022-01-01,2.12
2022-02-01,2.69
2022-03-01,2.69
2022-04-01,2.8
2022-05-01,3.65
2022-06-01,4.25
2022-07-01,4.36
2022-08-01,3.99
2022-09-01,4.71
2022-10-01,5.62
2022-11-01,5.87
2022-12-01,5.33
2023-01-01,5.54
2023-02-01,5.11
2023-03-01,5.77
2023-04-01,5.77
2023-05-01,5.07
2023-06-01,4.96
2023-07-01,5.71
2023-08-01,5.71
2023-09-01,5.83
2023-10-01,6.27
2023-11-01,6.27
