"Date","CRTINDEXTIER3"
2015-06-01,100
2015-07-01,100.462480901364
2015-08-01,100.453963193992
2015-09-01,100.603484880525
2015-10-01,100.568932188751
2015-11-01,100.747590461303
2015-12-01,100.699532920961
2016-01-01,100.787913693868
2016-02-01,100.889486734
2016-03-01,101.528491401088
2016-04-01,102.201533667467
2016-05-01,102.806182800053
2016-06-01,102.963536997277
2016-07-01,103.56567482664
2016-08-01,104.015843132741
2016-09-01,104.222964215302
2016-10-01,104.068778047575
2016-11-01,104.189041420323
2016-12-01,104.555892440169
2017-01-01,105.025705896351
2017-02-01,105.34755291692
2017-03-01,105.729295089648
2017-04-01,106.098305759769
2017-05-01,106.360445929431
2017-06-01,106.667193814128
2017-07-01,107.128391630817
2017-08-01,107.026061177545
2017-09-01,107.164328868233
2017-10-01,107.452211749734
2017-11-01,107.624232701027
2017-12-01,107.889987728723
2018-01-01,108.158041760342
2018-02-01,108.287624636929
2018-03-01,108.455915214414
2018-04-01,108.719259529832
2018-05-01,108.972787728718
2018-06-01,109.205187669964
2018-07-01,109.477233786114
2018-08-01,109.788796667798
2018-09-01,110.060779672423
2018-10-01,110.226548610117
2018-11-01,110.251316238222
2018-12-01,110.423920865602
2019-01-01,110.940630918907
2019-02-01,111.35373410641
2019-03-01,111.668405547704
2019-04-01,112.050154680687
2019-05-01,112.399441054383
2019-06-01,112.585581477673
2019-07-01,112.951887151641
2019-08-01,113.092444588127
2019-09-01,113.379816953461
2019-10-01,113.642857952277
2019-11-01,113.863134983996
2019-12-01,114.164625911286
2020-01-01,114.49256523029
2020-02-01,114.595529778523
2020-03-01,109.451614319974
2020-04-01,108.768740619517
2020-05-01,112.21077832653
2020-06-01,115.369074172326
2020-07-01,115.902631366296
2020-08-01,116.199443448952
2020-09-01,116.665119815141
2020-10-01,117.255715985138
2020-11-01,118.040093426409
2020-12-01,118.635861197288
2021-01-01,119.137323134234
2021-02-01,119.152413046117
2021-03-01,119.266509985872
2021-04-01,119.798609939367
2021-05-01,119.82784780752
2021-06-01,120.149432566629
2021-07-01,120.13299156158
2021-08-01,120.395772061894
2021-09-01,120.528544203996
2021-10-01,120.654826583819
2021-11-01,120.66643553622
2021-12-01,120.745787169348
2022-01-01,120.811544823199
2022-02-01,119.943910158598
2022-03-01,118.826138410665
2022-04-01,119.138920496214
2022-05-01,117.870024836677
2022-06-01,116.536846559305
2022-07-01,118.372365511494
2022-08-01,120.426810401986
2022-09-01,117.89733750323
2022-10-01,118.070566209515
2022-11-01,119.844214473329
2022-12-01,122.065446014722
2023-01-01,124.186629053236
2023-02-01,124.999548459288
2023-03-01,124.791936490477
2023-04-01,126.369305575771
2023-05-01,127.254363611201
2023-06-01,128.280674563543
2023-07-01,130.381628163592
2023-08-01,131.042604785524
2023-09-01,132.239693403759
2023-10-01,132.975672263387
2023-11-01,134.316622092397
