"Date","HQMCB11Y6M"
1984-01-01,12.84
1984-02-01,12.67
1984-03-01,13.05
1984-04-01,13.09
1984-05-01,13.4
1984-06-01,13.39
1984-07-01,13.43
1984-08-01,13.03
1984-09-01,12.81
1984-10-01,13.09
1984-11-01,12.75
1984-12-01,12.48
1985-01-01,12.37
1985-02-01,12.48
1985-03-01,12.83
1985-04-01,12.5
1985-05-01,12.16
1985-06-01,11.79
1985-07-01,11.65
1985-08-01,11.54
1985-09-01,11.46
1985-10-01,11.25
1985-11-01,10.87
1985-12-01,10.64
1986-01-01,10.27
1986-02-01,10.06
1986-03-01,9.7
1986-04-01,9.36
1986-05-01,9.21
1986-06-01,9.29
1986-07-01,9.37
1986-08-01,9.16
1986-09-01,9.21
1986-10-01,9.31
1986-11-01,9.19
1986-12-01,8.97
1987-01-01,8.58
1987-02-01,8.62
1987-03-01,8.51
1987-04-01,9.06
1987-05-01,9.51
1987-06-01,9.6
1987-07-01,9.79
1987-08-01,10.06
1987-09-01,10.6
1987-10-01,10.81
1987-11-01,10.31
1987-12-01,10.34
1988-01-01,10.09
1988-02-01,9.59
1988-03-01,9.62
1988-04-01,9.82
1988-05-01,10.1
1988-06-01,10.03
1988-07-01,10.07
1988-08-01,10.19
1988-09-01,9.99
1988-10-01,9.8
1988-11-01,9.85
1988-12-01,9.91
1989-01-01,9.85
1989-02-01,9.88
1989-03-01,10.04
1989-04-01,9.92
1989-05-01,9.71
1989-06-01,9.24
1989-07-01,8.96
1989-08-01,8.96
1989-09-01,9.07
1989-10-01,8.95
1989-11-01,8.88
1989-12-01,8.94
1990-01-01,9.21
1990-02-01,9.45
1990-03-01,9.47
1990-04-01,9.61
1990-05-01,9.61
1990-06-01,9.4
1990-07-01,9.41
1990-08-01,9.64
1990-09-01,9.79
1990-10-01,9.84
1990-11-01,9.74
1990-12-01,9.53
1991-01-01,9.5
1991-02-01,9.27
1991-03-01,9.35
1991-04-01,9.21
1991-05-01,9.2
1991-06-01,9.3
1991-07-01,9.31
1991-08-01,9.06
1991-09-01,8.86
1991-10-01,8.76
1991-11-01,8.72
1991-12-01,8.37
1992-01-01,8.2
1992-02-01,8.48
1992-03-01,8.6
1992-04-01,8.54
1992-05-01,8.5
1992-06-01,8.34
1992-07-01,8.02
1992-08-01,7.77
1992-09-01,7.61
1992-10-01,7.76
1992-11-01,8.03
1992-12-01,7.94
1993-01-01,7.79
1993-02-01,7.43
1993-03-01,7.17
1993-04-01,7.14
1993-05-01,7.15
1993-06-01,7.08
1993-07-01,6.88
1993-08-01,6.75
1993-09-01,6.41
1993-10-01,6.37
1993-11-01,6.72
1993-12-01,6.74
1994-01-01,6.71
1994-02-01,6.92
1994-03-01,7.43
1994-04-01,7.97
1994-05-01,8.14
1994-06-01,8.05
1994-07-01,8.23
1994-08-01,8.15
1994-09-01,8.37
1994-10-01,8.64
1994-11-01,8.79
1994-12-01,8.61
1995-01-01,8.56
1995-02-01,8.27
1995-03-01,8.04
1995-04-01,7.91
1995-05-01,7.48
1995-06-01,7.06
1995-07-01,7.17
1995-08-01,7.38
1995-09-01,7.07
1995-10-01,6.89
1995-11-01,6.8
1995-12-01,6.57
1996-01-01,6.54
1996-02-01,6.74
1996-03-01,7.15
1996-04-01,7.35
1996-05-01,7.57
1996-06-01,7.73
1996-07-01,7.68
1996-08-01,7.45
1996-09-01,7.63
1996-10-01,7.34
1996-11-01,6.99
1996-12-01,7.1
1997-01-01,7.37
1997-02-01,7.2
1997-03-01,7.46
1997-04-01,7.64
1997-05-01,7.49
1997-06-01,7.25
1997-07-01,6.96
1997-08-01,7.06
1997-09-01,6.94
1997-10-01,6.8
1997-11-01,6.71
1997-12-01,6.62
1998-01-01,6.43
1998-02-01,6.5
1998-03-01,6.55
1998-04-01,6.53
1998-05-01,6.55
1998-06-01,6.38
1998-07-01,6.39
1998-08-01,6.4
1998-09-01,6.17
1998-10-01,6.11
1998-11-01,6.29
1998-12-01,6.06
1999-01-01,6.07
1999-02-01,6.31
1999-03-01,6.53
1999-04-01,6.49
1999-05-01,6.89
1999-06-01,7.31
1999-07-01,7.24
1999-08-01,7.46
1999-09-01,7.42
1999-10-01,7.56
1999-11-01,7.38
1999-12-01,7.61
2000-01-01,7.97
2000-02-01,7.89
2000-03-01,7.81
2000-04-01,7.75
2000-05-01,8.29
2000-06-01,7.96
2000-07-01,7.88
2000-08-01,7.71
2000-09-01,7.78
2000-10-01,7.79
2000-11-01,7.75
2000-12-01,7.37
2001-01-01,7.19
2001-02-01,7.08
2001-03-01,6.9
2001-04-01,7.15
2001-05-01,7.24
2001-06-01,7.09
2001-07-01,7.05
2001-08-01,6.82
2001-09-01,6.96
2001-10-01,6.7
2001-11-01,6.51
2001-12-01,6.83
2002-01-01,6.74
2002-02-01,6.64
2002-03-01,6.91
2002-04-01,6.87
2002-05-01,6.87
2002-06-01,6.62
2002-07-01,6.6
2002-08-01,6.39
2002-09-01,6.03
2002-10-01,6.15
2002-11-01,5.99
2002-12-01,5.84
2003-01-01,5.71
2003-02-01,5.57
2003-03-01,5.47
2003-04-01,5.47
2003-05-01,5.04
2003-06-01,4.78
2003-07-01,5.37
2003-08-01,5.87
2003-09-01,5.67
2003-10-01,5.64
2003-11-01,5.6
2003-12-01,5.55
2004-01-01,5.41
2004-02-01,5.36
2004-03-01,5.11
2004-04-01,5.62
2004-05-01,6.04
2004-06-01,6.06
2004-07-01,5.82
2004-08-01,5.59
2004-09-01,5.39
2004-10-01,5.35
2004-11-01,5.39
2004-12-01,5.38
2005-01-01,5.32
2005-02-01,5.18
2005-03-01,5.47
2005-04-01,5.37
2005-05-01,5.19
2005-06-01,5.01
2005-07-01,5.15
2005-08-01,5.2
2005-09-01,5.17
2005-10-01,5.44
2005-11-01,5.54
2005-12-01,5.48
2006-01-01,5.44
2006-02-01,5.58
2006-03-01,5.73
2006-04-01,6.02
2006-05-01,6.15
2006-06-01,6.17
2006-07-01,6.15
2006-08-01,5.94
2006-09-01,5.77
2006-10-01,5.78
2006-11-01,5.63
2006-12-01,5.58
2007-01-01,5.76
2007-02-01,5.76
2007-03-01,5.67
2007-04-01,5.8
2007-05-01,5.84
2007-06-01,6.2
2007-07-01,6.22
2007-08-01,6.19
2007-09-01,6.13
2007-10-01,6.04
2007-11-01,6.04
2007-12-01,6.15
2008-01-01,6.04
2008-02-01,6.21
2008-03-01,6.44
2008-04-01,6.3
2008-05-01,6.43
2008-06-01,6.71
2008-07-01,6.96
2008-08-01,6.97
2008-09-01,7.52
2008-10-01,8.89
2008-11-01,8.46
2008-12-01,7.3
2009-01-01,7.01
2009-02-01,7.17
2009-03-01,7.55
2009-04-01,7.31
2009-05-01,7.22
2009-06-01,6.77
2009-07-01,6.45
2009-08-01,6.09
2009-09-01,5.76
2009-10-01,5.71
2009-11-01,5.67
2009-12-01,5.76
2010-01-01,5.74
2010-02-01,5.87
2010-03-01,5.74
2010-04-01,5.69
2010-05-01,5.49
2010-06-01,5.41
2010-07-01,5.16
2010-08-01,4.88
2010-09-01,4.78
2010-10-01,4.76
2010-11-01,4.91
2010-12-01,5.25
2011-01-01,5.3
2011-02-01,5.38
2011-03-01,5.27
2011-04-01,5.27
2011-05-01,5.04
2011-06-01,5.02
2011-07-01,5.01
2011-08-01,4.6
2011-09-01,4.45
2011-10-01,4.58
2011-11-01,4.54
2011-12-01,4.51
2012-01-01,4.43
2012-02-01,4.38
2012-03-01,4.47
