"Date","FLSLIND"
1989-08-01,1.03
1989-09-01,1.25
1989-10-01,1.37
1989-11-01,1.49
1989-12-01,1.43
1990-01-01,1.38
1990-02-01,0.92
1990-03-01,0.82
1990-04-01,1.18
1990-05-01,0.85
1990-06-01,0.81
1990-07-01,0.52
1990-08-01,0.78
1990-09-01,0.64
1990-10-01,0.37
1990-11-01,0.41
1990-12-01,0.2
1991-01-01,0.17
1991-02-01,0.08
1991-03-01,0.51
1991-04-01,0.99
1991-05-01,0.95
1991-06-01,1.45
1991-07-01,1.58
1991-08-01,1.7
1991-09-01,1.26
1991-10-01,0.8
1991-11-01,0.78
1991-12-01,0.61
1992-01-01,0.68
1992-02-01,1.41
1992-03-01,1.89
1992-04-01,1.8
1992-05-01,2.39
1992-06-01,2.15
1992-07-01,2.34
1992-08-01,2.03
1992-09-01,2.23
1992-10-01,2.58
1992-11-01,2.85
1992-12-01,3.17
1993-01-01,2.95
1993-02-01,2.96
1993-03-01,2.56
1993-04-01,2.53
1993-05-01,2.12
1993-06-01,2
1993-07-01,2.1
1993-08-01,2.14
1993-09-01,1.98
1993-10-01,2.08
1993-11-01,1.96
1993-12-01,2.07
1994-01-01,1.88
1994-02-01,1.97
1994-03-01,2.05
1994-04-01,2.05
1994-05-01,2.26
1994-06-01,2.12
1994-07-01,2.07
1994-08-01,2.21
1994-09-01,2.32
1994-10-01,2.27
1994-11-01,2.63
1994-12-01,2.67
1995-01-01,2.53
1995-02-01,1.85
1995-03-01,1.72
1995-04-01,1.55
1995-05-01,1.14
1995-06-01,1.22
1995-07-01,0.99
1995-08-01,1.37
1995-09-01,1.65
1995-10-01,1.66
1995-11-01,1.9
1995-12-01,1.84
1996-01-01,1.94
1996-02-01,2.14
1996-03-01,1.87
1996-04-01,1.97
1996-05-01,1.88
1996-06-01,1.88
1996-07-01,2.03
1996-08-01,1.82
1996-09-01,2.04
1996-10-01,1.98
1996-11-01,1.38
1996-12-01,1.48
1997-01-01,1.66
1997-02-01,1.85
1997-03-01,1.8
1997-04-01,1.98
1997-05-01,1.81
1997-06-01,1.94
1997-07-01,2.04
1997-08-01,1.65
1997-09-01,2.06
1997-10-01,1.94
1997-11-01,1.72
1997-12-01,1.72
1998-01-01,1.99
1998-02-01,1.86
1998-03-01,1.67
1998-04-01,1.81
1998-05-01,1.62
1998-06-01,1.96
1998-07-01,1.86
1998-08-01,1.55
1998-09-01,2
1998-10-01,1.86
1998-11-01,2.15
1998-12-01,1.74
1999-01-01,1.86
1999-02-01,1.75
1999-03-01,1.73
1999-04-01,1.63
1999-05-01,1.92
1999-06-01,1.86
1999-07-01,1.65
1999-08-01,1.72
1999-09-01,1.91
1999-10-01,1.79
1999-11-01,2.09
1999-12-01,1.81
2000-01-01,1.67
2000-02-01,1.47
2000-03-01,1.59
2000-04-01,1.65
2000-05-01,1.56
2000-06-01,1.15
2000-07-01,1.11
2000-08-01,1.69
2000-09-01,1.53
2000-10-01,1.55
2000-11-01,1.47
2000-12-01,1.34
2001-01-01,1.06
2001-02-01,0.92
2001-03-01,0.79
2001-04-01,0.95
2001-05-01,1.17
2001-06-01,1.22
2001-07-01,1.05
2001-08-01,1.19
2001-09-01,0.64
2001-10-01,-2.24
2001-11-01,-0.91
2001-12-01,0.57
2002-01-01,1.76
2002-02-01,2.31
2002-03-01,2.3
2002-04-01,2.23
2002-05-01,2.07
2002-06-01,2
2002-07-01,1.78
2002-08-01,2.02
2002-09-01,1.84
2002-10-01,2.25
2002-11-01,2.12
2002-12-01,2.02
2003-01-01,1.74
2003-02-01,1.67
2003-03-01,1.85
2003-04-01,1.53
2003-05-01,1.57
2003-06-01,1.71
2003-07-01,2.09
2003-08-01,2.16
2003-09-01,2.79
2003-10-01,2.8
2003-11-01,2.56
2003-12-01,2.55
2004-01-01,2.25
2004-02-01,2.19
2004-03-01,2
2004-04-01,1.88
2004-05-01,2.2
2004-06-01,1.99
2004-07-01,2.33
2004-08-01,1.72
2004-09-01,1.47
2004-10-01,1.46
2004-11-01,1.96
2004-12-01,2.25
2005-01-01,2.57
2005-02-01,2.73
2005-03-01,2.84
2005-04-01,2.68
2005-05-01,2.31
2005-06-01,2.55
2005-07-01,2.32
2005-08-01,2.05
2005-09-01,2.28
2005-10-01,1.95
2005-11-01,1.23
2005-12-01,1.56
2006-01-01,1.72
2006-02-01,2.3
2006-03-01,1.79
2006-04-01,1.53
2006-05-01,0.99
2006-06-01,0.97
2006-07-01,0.62
2006-08-01,0.48
2006-09-01,0.37
2006-10-01,0.73
2006-11-01,0.76
2006-12-01,0.63
2007-01-01,0.74
2007-02-01,0.48
2007-03-01,0.41
2007-04-01,0.36
2007-05-01,0.3
2007-06-01,0.34
2007-07-01,0.32
2007-08-01,0.11
2007-09-01,0.14
2007-10-01,0.22
2007-11-01,-0.07
2007-12-01,0.09
2008-01-01,0.33
2008-02-01,0.02
2008-03-01,0
2008-04-01,-0.09
2008-05-01,-0.22
2008-06-01,-0.47
2008-07-01,-0.47
2008-08-01,-0.78
2008-09-01,-0.83
2008-10-01,-0.88
2008-11-01,-1.25
2008-12-01,-1.53
2009-01-01,-2.13
2009-02-01,-1.79
2009-03-01,-2.09
2009-04-01,-1.23
2009-05-01,-0.31
2009-06-01,0.88
2009-07-01,1.26
2009-08-01,1.26
2009-09-01,1.58
2009-10-01,1.61
2009-11-01,1.32
2009-12-01,1.56
2010-01-01,1.7
2010-02-01,2.27
2010-03-01,2.27
2010-04-01,2.3
2010-05-01,2.28
2010-06-01,2.04
2010-07-01,1.64
2010-08-01,0.97
2010-09-01,0.99
2010-10-01,1.23
2010-11-01,1.68
2010-12-01,2.36
2011-01-01,2.47
2011-02-01,2.66
2011-03-01,2.59
2011-04-01,2.64
2011-05-01,2.53
2011-06-01,2.21
2011-07-01,2.28
2011-08-01,3.01
2011-09-01,2.9
2011-10-01,3.11
2011-11-01,2.88
2011-12-01,2.91
2012-01-01,2.9
2012-02-01,2.49
2012-03-01,2.43
2012-04-01,2.03
2012-05-01,1.87
2012-06-01,2.04
2012-07-01,2.34
2012-08-01,2.26
2012-09-01,2.41
2012-10-01,2.85
2012-11-01,2.42
2012-12-01,2.33
2013-01-01,2.49
2013-02-01,2.45
2013-03-01,2.82
2013-04-01,2.54
2013-05-01,2.45
2013-06-01,2.46
2013-07-01,2.43
2013-08-01,2.73
2013-09-01,2.35
2013-10-01,2.31
2013-11-01,1.98
2013-12-01,1.89
2014-01-01,2.01
2014-02-01,2.01
2014-03-01,1.75
2014-04-01,2.04
2014-05-01,2.1
2014-06-01,2.32
2014-07-01,2.6
2014-08-01,2.16
2014-09-01,2.21
2014-10-01,2.35
2014-11-01,2.32
2014-12-01,2.25
2015-01-01,2.14
2015-02-01,2.35
2015-03-01,2.07
2015-04-01,2.23
2015-05-01,2.13
2015-06-01,2.41
2015-07-01,2.45
2015-08-01,2.06
2015-09-01,2.38
2015-10-01,2.47
2015-11-01,2.59
2015-12-01,2.08
2016-01-01,2.18
2016-02-01,2.25
2016-03-01,1.94
2016-04-01,2.08
2016-05-01,1.87
2016-06-01,1.63
2016-07-01,1.7
2016-08-01,1.7
2016-09-01,1.85
2016-10-01,1.68
2016-11-01,2.01
2016-12-01,1.95
2017-01-01,2.1
2017-02-01,2.23
2017-03-01,2.2
2017-04-01,2.33
2017-05-01,1.94
2017-06-01,2.06
2017-07-01,1.83
2017-08-01,2.06
2017-09-01,0.78
2017-10-01,1.69
2017-11-01,1.55
2017-12-01,2.01
2018-01-01,2.43
2018-02-01,2.14
2018-03-01,2.38
2018-04-01,2.41
2018-05-01,2.01
2018-06-01,2.17
2018-07-01,2.09
2018-08-01,2.24
2018-09-01,2.02
2018-10-01,1.36
2018-11-01,1.53
2018-12-01,1.14
2019-01-01,1.44
2019-02-01,1.54
2019-03-01,1.56
2019-04-01,1.92
2019-05-01,1.87
2019-06-01,1.61
2019-07-01,1.9
2019-08-01,2.04
2019-09-01,2.11
2019-10-01,2
2019-11-01,2.02
2019-12-01,1.65
2020-01-01,1.79
2020-02-01,1.72
