"Date","FLSLIND"
1982-01-01,-0.25
1982-02-01,-0.01
1982-03-01,0.38
1982-04-01,0.68
1982-05-01,0.72
1982-06-01,0.97
1982-07-01,0.99
1982-08-01,0.98
1982-09-01,1.05
1982-10-01,0.93
1982-11-01,1.3
1982-12-01,1.49
1983-01-01,1.85
1983-02-01,2.38
1983-03-01,2.89
1983-04-01,3.01
1983-05-01,3.14
1983-06-01,3.24
1983-07-01,3.52
1983-08-01,3.35
1983-09-01,3.51
1983-10-01,3.64
1983-11-01,3.62
1983-12-01,3.44
1984-01-01,3.08
1984-02-01,2.9
1984-03-01,2.87
1984-04-01,2.5
1984-05-01,2.26
1984-06-01,2.09
1984-07-01,1.76
1984-08-01,1.6
1984-09-01,1.47
1984-10-01,1.87
1984-11-01,1.7
1984-12-01,1.65
1985-01-01,2.12
1985-02-01,1.89
1985-03-01,1.65
1985-04-01,1.76
1985-05-01,1.87
1985-06-01,2.17
1985-07-01,2.18
1985-08-01,2.2
1985-09-01,2.06
1985-10-01,2.43
1985-11-01,2.13
1985-12-01,2.09
1986-01-01,1.75
1986-02-01,1.44
1986-03-01,1.33
1986-04-01,1.18
1986-05-01,1.53
1986-06-01,1.44
1986-07-01,2.01
1986-08-01,1.86
1986-09-01,1.9
1986-10-01,1.78
1986-11-01,2
1986-12-01,1.85
1987-01-01,2.2
1987-02-01,1.98
1987-03-01,2.24
1987-04-01,2.32
1987-05-01,2.48
1987-06-01,2.49
1987-07-01,2.04
1987-08-01,1.8
1987-09-01,1.63
1987-10-01,1.76
1987-11-01,1.64
1987-12-01,1.76
1988-01-01,1.71
1988-02-01,1.63
1988-03-01,1.77
1988-04-01,1.77
1988-05-01,2.08
1988-06-01,2.01
1988-07-01,1.51
1988-08-01,1.49
1988-09-01,1.74
1988-10-01,1.44
1988-11-01,1.35
1988-12-01,1.4
1989-01-01,1.57
1989-02-01,1.28
1989-03-01,1.04
1989-04-01,1.06
1989-05-01,0.98
1989-06-01,1.12
1989-07-01,0.91
