"Date","CPIEBEV"
1982-12-01,100
1983-01-01,100.5
1983-02-01,100.9
1983-03-01,101.5
1983-04-01,102
1983-05-01,102.2
1983-06-01,102.2
1983-07-01,102.3
1983-08-01,102.3
1983-09-01,102.4
1983-10-01,102.5
1983-11-01,102.2
1983-12-01,102.7
1984-01-01,104.9
1984-02-01,106
1984-03-01,106
1984-04-01,106
1984-05-01,105.6
1984-06-01,105.9
1984-07-01,106.3
1984-08-01,106.9
1984-09-01,106.6
1984-10-01,106.7
1984-11-01,106.5
1984-12-01,106.8
1985-01-01,107.6
1985-02-01,108.5
1985-03-01,108.6
1985-04-01,108.5
1985-05-01,108.3
1985-06-01,108.4
1985-07-01,108.5
1985-08-01,108.5
1985-09-01,108.5
1985-10-01,108.6
1985-11-01,108.9
1985-12-01,109.7
1986-01-01,110.7
1986-02-01,110.7
1986-03-01,110.8
1986-04-01,111.1
1986-05-01,111.4
1986-06-01,111.4
1986-07-01,112.5
1986-08-01,113.4
1986-09-01,113.5
1986-10-01,113.7
1986-11-01,113.9
1986-12-01,114.1
1987-01-01,115.5
1987-02-01,116
1987-03-01,115.9
1987-04-01,116.2
1987-05-01,116.9
1987-06-01,117.5
1987-07-01,117.2
1987-08-01,117.2
1987-09-01,117.6
1987-10-01,117.7
1987-11-01,117.5
1987-12-01,118.2
1988-01-01,119.2
1988-02-01,119.2
1988-03-01,119.4
1988-04-01,120.1
1988-05-01,120.6
1988-06-01,121.1
1988-07-01,122.4
1988-08-01,123
1988-09-01,123.9
1988-10-01,124
1988-11-01,123.8
1988-12-01,124.2
1989-01-01,125.8
1989-02-01,126.6
1989-03-01,127.3
1989-04-01,128.1
1989-05-01,128.9
1989-06-01,129
1989-07-01,129.6
1989-08-01,129.8
1989-09-01,130.1
1989-10-01,130.8
1989-11-01,131.1
1989-12-01,131.6
1990-01-01,135.2
1990-02-01,136.2
1990-03-01,136.2
1990-04-01,135.7
1990-05-01,135.8
1990-06-01,136.5
1990-07-01,137.4
1990-08-01,137.5
1990-09-01,137.7
1990-10-01,138.1
