"Date","HQMCB10YRP"
1984-01-01,12.58
1984-02-01,12.52
1984-03-01,12.91
1984-04-01,13.08
1984-05-01,13.58
1984-06-01,13.77
1984-07-01,13.74
1984-08-01,13.22
1984-09-01,13.01
1984-10-01,13
1984-11-01,12.58
1984-12-01,12.29
1985-01-01,12.17
1985-02-01,12.12
1985-03-01,12.46
1985-04-01,12.13
1985-05-01,11.76
1985-06-01,11.33
1985-07-01,11.24
1985-08-01,11.29
1985-09-01,11.22
1985-10-01,11.08
1985-11-01,10.73
1985-12-01,10.42
1986-01-01,10.16
1986-02-01,9.9
1986-03-01,9.47
1986-04-01,9.16
1986-05-01,9.1
1986-06-01,9.21
1986-07-01,9.05
1986-08-01,8.85
1986-09-01,8.86
1986-10-01,8.87
1986-11-01,8.69
1986-12-01,8.5
1987-01-01,8.25
1987-02-01,8.29
1987-03-01,8.21
1987-04-01,8.75
1987-05-01,9.24
1987-06-01,9.27
1987-07-01,9.37
1987-08-01,9.62
1987-09-01,10.17
1987-10-01,10.43
1987-11-01,9.94
1987-12-01,9.98
1988-01-01,9.77
1988-02-01,9.3
1988-03-01,9.33
1988-04-01,9.55
1988-05-01,9.76
1988-06-01,9.73
1988-07-01,9.79
1988-08-01,9.94
1988-09-01,9.77
1988-10-01,9.62
1988-11-01,9.74
1988-12-01,9.88
1989-01-01,9.87
1989-02-01,9.91
1989-03-01,10.12
1989-04-01,10.04
1989-05-01,9.78
1989-06-01,9.26
1989-07-01,8.96
1989-08-01,8.98
1989-09-01,9.1
1989-10-01,8.96
1989-11-01,8.86
1989-12-01,8.9
1990-01-01,9.18
1990-02-01,9.44
1990-03-01,9.48
1990-04-01,9.64
1990-05-01,9.62
1990-06-01,9.39
1990-07-01,9.4
1990-08-01,9.56
1990-09-01,9.68
1990-10-01,9.77
1990-11-01,9.67
1990-12-01,9.43
1991-01-01,9.39
1991-02-01,9.15
1991-03-01,9.18
1991-04-01,9.02
1991-05-01,9
1991-06-01,9.1
1991-07-01,9.13
1991-08-01,8.83
1991-09-01,8.62
1991-10-01,8.43
1991-11-01,8.36
1991-12-01,8.05
1992-01-01,7.91
1992-02-01,8.16
1992-03-01,8.32
1992-04-01,8.23
1992-05-01,8.17
1992-06-01,7.99
1992-07-01,7.61
1992-08-01,7.37
1992-09-01,7.18
1992-10-01,7.35
1992-11-01,7.67
1992-12-01,7.6
1993-01-01,7.45
1993-02-01,7.06
1993-03-01,6.81
1993-04-01,6.75
1993-05-01,6.76
1993-06-01,6.7
1993-07-01,6.53
1993-08-01,6.41
